"OldPLOTID","Regen_Plot","DBH","ID","Species","comments"
NA,"SPA1000022",33,340,"PILA",""
NA,"SPA1000022",51,341,"PIPO",""
NA,"SPA1000036",72.5,342,"PILA",""
NA,"SPA1000036",24.5,343,"PSME",""
NA,"SPA1000036",6,344,"QUCH2",""
NA,"SPA1000036",10,345,"QUCH2",""
NA,"SPA1000036",8,346,"LIDE3",""
NA,"SPA1000047",55,347,"QUKE",""
NA,"SPA1000135",58,348,"PILA",""
NA,"SPA1000145",67,349,"CADE27",""
NA,"SPA1000107",40,350,"QUKE",""
NA,"SPA1000107",67,351,"PSME",""
NA,"SPA1000107",32,352,"PILA",""
NA,"SPA1000106",64,353,"PIPO",""
NA,"SPA1000071",59,354,"PIPO",""
NA,"SPA1000071",40,355,"PIPO",""
NA,"SPA1000071",44,356,"PIPO",""
NA,"HAR1000016",32.9,357,"PIJE",""
NA,"HAR1000016",22.8,358,"CADE27",""
NA,"HAR1000048",20.7,359,"PIJE",""
NA,"HAR1000049",42,363,"PIJE",""
NA,"HAR1000043",24.9,364,"JUOC",""
NA,"HAR1000052",29.5,365,"PIJE",""
NA,"HAR1000052",17.1,366,"ABCO",""
NA,"HAR1000052",23.8,367,"PIJE",""
NA,"HAR1000052",19.3,368,"PIJE",""
NA,"HAR1000052",21.2,369,"PIJE",""
NA,"HAR1000057",38,370,"JUOC",""
NA,"HAR1000055",38,371,"CADE27",""
NA,"HAR1000051",24.5,372,"PIJE",""
NA,"HAR1000051",23.1,373,"PIJE",""
NA,"HAR1000054",9,374,"CADE27",""
NA,"HAR1000059",46.9,375,"JUOC",""
NA,"HAR1000005",65,376,"PIPO",""
NA,"HAR1000004",31,377,"PIPO",""
NA,"HAR1000049",25.9,378,"ABCO",""
NA,"HAR1000049",18.6,379,"PIJE",""
NA,"HAR1000035",66.7,380,"PIPO",""
NA,"HAR1000022",15.2,381,"CADE27",""
NA,"HAR1000022",11.6,382,"CADE27",""
NA,"HAR1000026",14.2,383,"JUOC",""
NA,"HAR1000032",13.5,384,"CADE27",""
NA,"HAR1000032",24.2,385,"CADE27",""
NA,"HAR1000032",20,386,"CADE27",""
NA,"HAR1000032",35,387,"PIJE",""
NA,"HAR1000030",61,388,"PIJE",""
NA,"HAR1000030",77,389,"PIJE",""
NA,"SIM1000065",63,390,"PSME",""
NA,"SIM1000098",26,391,"LIDE3",""
NA,"SIM1000098",31.8,392,"LIDE3",""
NA,"SIM1000090",76.5,395,"PSME",""
NA,"SIM1000093",97.6,396,"PSME",""
NA,"SIM1000091",28,397,"PIPO",""
NA,"SIM1000092",24,398,"LIDE3",""
NA,"SIM1000092",14.5,399,"LIDE3",""
NA,"SIM1000092",11.9,400,"QUCH2",""
NA,"SIM1000092",75,401,"PSME",""
NA,"SIM1000092",29,402,"PSME",""
NA,"SIM1000001",134,403,"PSME",""
NA,"SIM1000003",28,404,"QUKE",""
NA,"SIM1000041",52,405,"PSME",""
NA,"SIM1000002",26,408,"ARME",""
NA,"HAR1000008",49,410,"PIJE",""
NA,"HAR1000008",4.9,411,"JUOC",""
NA,"HAR1000008",21.6,412,"JUOC",""
NA,"HAR1000010",11.3,413,"CADE27",""
NA,"HAR1000013",48.6,415,"PIPO",""
NA,"HAR1000013",50.3,416,"CADE27",""
NA,"HAR1000013",38,417,"PIPO",""
NA,"HAR1000013",26.2,418,"CADE27",""
NA,"HAR1000014",32.5,419,"PIPO",""
NA,"SIM1000042",20,420,"LIDE3",""
NA,"SIM1000027",29,421,"LIDE3",""
NA,"SPA1000092",20,424,"ABCO",""
NA,"SPA1000092",21,425,"ABCO",""
NA,"SPA1000092",23,426,"ABCO",""
NA,"SPA1000092",45,427,"ABCO",""
NA,"SPA1000092",2,428,"ABCO",""
NA,"SPA1000148",28.7,430,"PIJE",""
NA,"SPA1000160",41.2,431,"PSME",""
NA,"SPA1000160",74.4,432,"PSME",""
NA,"SPA1000125",5.1,433,"PIJE",""
NA,"SPA1000125",6.2,434,"PIJE",""
NA,"SPA1000072",20.5,436,"PSME",""
NA,"SPA1000072",2.1,437,"PILA",""
NA,"SIM1000018",58.5,440,"PSME",""
NA,"SIM1000018",60,441,"PSME",""
NA,"SIM1000097",12.6,442,"PIPO",""
NA,"SIM1000097",7.5,443,"PIPO",""
NA,"SIM1000081",20.7,444,"QUCH2",""
NA,"SIM1000005",106,445,"PSME",""
NA,"SIM1000005",71,446,"PSME",""
NA,"PNT1000025",16.8,450,"QUCH2",""
NA,"PNT1000025",12.4,451,"QUCH2",""
NA,"SPA1000002",44.5,452,"ABCO",""
NA,"SPA1000003",3.3,453,"PSME",""
NA,"SPA1000005",38.8,454,"ABCO",""
NA,"PNP1000005",78,455,"ABCO",""
NA,"PNP1000005",49.7,456,"PSME",""
NA,"PNP1000011",110,457,"PSME",""
NA,"PNT1000036",16.9,458,"QUCH2","all sprouts from same tree"
NA,"PNT1000036",16,459,"QUCH2",""
NA,"PNT1000036",16.4,460,"QUCH2",""
NA,"PNT1000036",23.5,461,"QUCH2",""
NA,"PNT1000036",18.6,462,"QUCH2",""
NA,"PNP1110069",25,463,"PIPO",""
NA,"PNP1110069",12.5,464,"PSME",""
NA,"PNP1110069",27,465,"PIPO",""
NA,"PNP1110189",35.5,466,"ALNUS",""
NA,"PNP1110189",22,467,"LIDE3",""
NA,"PNP1110189",36,468,"PSME",""
NA,"PNP1110098",17,469,"PSME",""
NA,"PNP1110022",49.5,470,"PILA",""
NA,"PNP1110412",8,471,"ARME",""
NA,"PNP1110412",9.2,472,"ARME",""
NA,"PNP1110412",25,473,"PSME",""
NA,"PNP1110412",23.5,474,"PSME",""
NA,"PNP1110348",53.5,475,"LIDE3",""
NA,"PNP1110348",18.5,476,"ABCO",""
NA,"PNP1110013",8.5,477,"PSME",""
NA,"PNP1110013",23.5,478,"PSME",""
NA,"PNP1110013",8.8,479,"ABCO",""
NA,"PNP1110013",7.7,480,"LIDE3",""
NA,"PNP1110013",11,481,"ABCO",""
NA,"PNP1110013",12.5,482,"PSME",""
NA,"PNP1110002",22.6,483,"LIDE3",""
NA,"PNP1110002",13.2,484,"LIDE3",""
NA,"PNP1110002",24.5,485,"LIDE3",""
NA,"PNP1110002",8.2,486,"CONU4",""
NA,"PNP1110002",10.5,487,"LIDE3",""
NA,"PNP1110002",7.5,488,"LIDE3",""
NA,"PNP1110002",11.5,489,"LIDE3",""
NA,"PNP1110002",13,490,"LIDE3",""
NA,"PNP1110111",30,491,"LIDE3",""
NA,"PNP1110111",101,492,"PSME",""
NA,"PNP1110113",7.2,493,"LIDE3",""
NA,"PNP1110113",6.9,494,"LIDE3",""
NA,"PNP1110113",10.4,495,"CONU4",""
NA,"PNP1110113",6.2,496,"CONU4",""
NA,"PNP1110113",4.3,497,"CONU4",""
NA,"PNP1110113",7.5,498,"CONU4",""
NA,"PNP1110113",8.6,499,"CONU4",""
NA,"PNP1110113",4.3,500,"CONU4",""
NA,"PNP1110113",6.9,501,"CONU4",""
NA,"BST1100329",12.5,502,"PIPO","Planted ~7 years old"
NA,"BST1100329",13.8,503,"PIPO","Planted ~7 years old"
NA,"BST1100329",16.4,504,"PIPO","Planted ~7 years old"
NA,"PNP1110128",27,505,"LIDE3",""
NA,"PNP1110130",19.5,506,"ABCO",""
NA,"PNP1110130",27,507,"PSME",""
NA,"PNP1110130",15.6,508,"ABCO",""
NA,"PNP1110130",10,509,"PSME",""
NA,"BST1100332",72,510,"ABMA",""
NA,"BST1100332",36.2,511,"ABMA",""
NA,"BST1100332",53.5,512,"ABMA",""
NA,"BST1100332",17.2,513,"ABMA",""
NA,"PNP1110165",33,514,"PSME",""
NA,"BST1100350",26.4,515,"ABMA",""
NA,"BST1100351",49,516,"ABCO",""
NA,"BST1100351",50.5,517,"ABCO",""
NA,"BST1100351",20.7,518,"ABCO",""
NA,"BST1100351",11.3,519,"PSME",""
NA,"PNP1110146",34,520,"PSME",""
NA,"BST1100349",116.4,521,"ABMA",""
NA,"BST1100349",96,522,"ABMA",""
NA,"PNP1110149",14.5,523,"LIDE3",""
NA,"PNP1110149",15.5,524,"QUKE",""
NA,"PNP1110149",18,525,"LIDE3",""
NA,"BST1100282",36.6,526,"ABCO",""
NA,"BST1100282",31.9,527,"ABCO",""
NA,"PNP1110150",46.5,528,"PSME",""
NA,"PNP1110171",6.5,529,"PSME",""
NA,"PNP1110171",21,530,"ABCO",""
NA,"PNP1110171",18,531,"PSME",""
NA,"PNP1110171",12,532,"PSME",""
NA,"PNP1110171",11,533,"PSME",""
NA,"PNP1110171",14.5,534,"PSME",""
NA,"PNP1110171",7.3,535,"PILA",""
NA,"PNP1110171",5,536,"PILA",""
NA,"PNP1110171",7.2,537,"PSME",""
NA,"PNP1110171",5,538,"PSME",""
NA,"PNP1110171",7,539,"PSME",""
NA,"PNP1110171",9,540,"PILA",""
NA,"PNP1110171",11,541,"CADE27",""
NA,"PNP1110171",12.5,542,"PSME",""
NA,"PNP1110171",27,543,"PSME",""
NA,"PNP1110171",8.5,544,"PSME",""
NA,"PNP1110151",11.3,545,"LIDE3",""
NA,"PNT1100088",23,551,"CADE27",""
NA,"PNT1100088",15.5,552,"ABCO",""
NA,"PNT1100088",11.8,553,"ABCO",""
NA,"PNT1100088",10,554,"LIDE3",""
NA,"PNT1100088",8.5,555,"LIDE3",""
NA,"PNT1100088",16.1,556,"ABCO",""
NA,"PNT1100088",8.5,557,"ABCO",""
NA,"BST1100268",31.8,558,"ABCO",""
NA,"BST1100305",43.5,559,"ABMA",""
NA,"PNT1100100",18,560,"PSME",""
NA,"PNT1100100",20,561,"PSME",""
NA,"PNT1100100",16,562,"PSME",""
NA,"PNT1100100",16,563,"ARME",""
NA,"BST1100004",63.3,564,"PIPO",""
NA,"BST1100025",38.1,565,"PIPO",""
NA,"BST1100025",40.2,566,"PIPO",""
NA,"BST1100025",35.5,567,"PIPO",""
NA,"PNT1100089",33,568,"PILA",""
NA,"PNT1100089",11.7,569,"LIDE3",""
NA,"PNT1100089",39,570,"PILA",""
NA,"PNT1100089",13.5,571,"PILA",""
NA,"PNT1100089",35,572,"PILA",""
NA,"BST1100026",8.2,573,"PICO",""
NA,"BST1100026",36.6,574,"PICO",""
NA,"PNT1100090",40,575,"CADE27",""
NA,"PNT1100090",8,576,"ARME",""
NA,"PNT1100090",43,577,"PSME",""
NA,"PNT1100090",88,578,"PILA",""
NA,"PNT1100108",14,579,"LIDE3",""
NA,"PNT1100108",40.2,580,"LIDE3",""
NA,"PNT1100108",8.3,581,"LIDE3",""
NA,"PNT1100108",32.5,582,"LIDE3",""
NA,"PNT1100108",17,583,"LIDE3",""
NA,"PNT1100108",20,584,"LIDE3",""
NA,"PNT1100067",44.7,585,"ABCO",""
NA,"PNT1100067",64.5,586,"QUKE",""
NA,"PNT1100077",48,587,"CADE27",""
NA,"BST1100066",41.3,588,"ABCO",""
NA,"BST1100066",62,589,"PILA",""
NA,"BST1100066",66.3,590,"PIPO",""
NA,"BST1100069",68.5,591,"PICO",""
NA,"BST1100086",49.5,592,"PILA",""
NA,"BST1100086",37.5,593,"PILA",""
NA,"BST1100086",43.5,594,"PILA",""
NA,"BST1100087",26.5,595,"CADE27",""
NA,"BST1100087",12,596,"ABMA",""
NA,"BST1100110",30,597,"ABMA",""
NA,"PNT1100070",36,599,"PSME",""
NA,"PNT1100070",33,600,"PSME",""
NA,"PNT1100070",41.5,601,"PSME",""
NA,"BST1100111",13,602,"ABMA",""
NA,"BST1100111",43,603,"CADE27",""
NA,"PNT1100076",21.5,604,"LIDE3",""
NA,"PNT1100076",59.4,605,"LIDE3",""
