"ID","Regen_Plot","OldPLOTID","Count_total","X0yr","Ct_1yr","Ct_2yr","Ct_3yr","Ct_4yr","Ct_5yr","X6yr","X7yr","X8yr","X9yr","X10yr","X11.yr","Type","Species","num_dead","seed_veg_plant","tallest_age","tallest_ht_cm","tallest_lastyr_cm","Remarks","number_sprouts","X11yr","X12yr","X13yr","X14yr","X15yr","X16yr","X17yr","X18yr","X19yr","X20.yr","unk_yr","quadrants","x21yr","x22yr","x23yr","x24yr","x25yr","x26yr"
3532,"AMR1300177",NA,3,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,"C","ABCO",NA,"S",2,30,4,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3533,"AMR1300178",NA,88,30,25,30,3,NA,NA,NA,NA,NA,NA,NA,NA,"C","ABMA",NA,"S",3,13,3,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3534,"AMR1300178",NA,2,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,"C","ABCO",NA,"S",2,22,9,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3538,"AMR1300178",NA,6,1,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"C","PSME",NA,"S",1,32,18,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3539,"AMR1300192",NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,"C","PIPO",NA,"S",3,50,15,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3540,"AMR1300192",NA,2,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,"C","ABMA",NA,"S",2,25,5,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3541,"AMR1300193",NA,20,1,3,8,5,3,NA,NA,NA,NA,NA,NA,NA,"C","ABMA",NA,"S",4,45,12,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3542,"AMR1300193",NA,2,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,"C","PIPO",NA,"S",3,27,5,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3543,"AMR1300193",NA,3,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,"C","PICO",NA,"S",3,30,8,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3544,"AMR1300193",NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,"C","PILA",NA,"S",4,38,13,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3545,"AMR1300194",NA,14,NA,NA,3,8,3,NA,NA,NA,NA,NA,NA,NA,"C","ABMA",NA,"S",4,48,12,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3546,"AMR1300195",NA,8,NA,3,2,2,1,NA,NA,NA,NA,NA,NA,NA,"C","ABMA",NA,"S",4,30,5,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3547,"AMR1300195",NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,"C","PIPO",NA,"S",2,32,15,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3548,"AMR1300195",NA,5,NA,NA,4,1,NA,NA,NA,NA,NA,NA,NA,NA,"C","PILA",NA,"S",3,30,10,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3549,"AMR1300195",NA,3,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,"C","ABCO",NA,"S",2,25,7,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
