"ID","Regen_Plot","DBH..cm.","type","Species","X3.yr","X4yr","X5yr","X6yr","X7yr","X8yr","X9yr","X10yr","X11.yr","seed_veg_plant","tallest_ht_cm","tallest_age","tallest_lastyr_cm","number_sprouts","age","possibly_survived_fire"
154,"PNT1000113","2.5","h","CONU4",NA,NA,NA,NA,1,NA,NA,NA,NA,"S",400,7,NA,1,NA,NA
159,"PNT1000113","3.3","h","LIDE3",NA,NA,NA,NA,NA,1,NA,NA,NA,"S",300,8,NA,0,NA,NA
164,"PNT1000131","3.5","h","ARME",NA,NA,NA,NA,NA,1,NA,NA,NA,"S",380,8,NA,0,NA,NA
165,"PNT1000131","1.4","h","ARME",NA,NA,NA,NA,1,NA,NA,NA,NA,"S",230,7,NA,1,NA,NA
166,"PNT1000131","1.8","h","ARME",NA,NA,NA,NA,1,NA,NA,NA,NA,"S",280,7,NA,1,NA,NA
167,"PNT1000131","5.7","h","ARME",NA,NA,NA,NA,NA,NA,NA,NA,1,"S",550,11,NA,2,NA,NA
168,"PNT1000131","3.4","h","ARME",NA,NA,NA,NA,NA,1,NA,NA,NA,"S",320,8,NA,1,NA,NA
169,"PNT1000131","2.5","h","ARME",NA,NA,NA,NA,1,NA,NA,NA,NA,"S",220,7,NA,1,NA,NA
171,"PNT1000106","15.6","c","PIPO",NA,NA,NA,NA,NA,NA,NA,NA,1,"P",500,11,NA,0,NA,NA
172,"PNT1000106","13.1","c","PIPO",NA,NA,NA,NA,NA,NA,NA,NA,1,"P",490,11,NA,0,NA,NA
173,"PNT1000106","13.9","c","PIPO",NA,NA,NA,NA,NA,NA,NA,NA,1,"P",510,11,NA,0,NA,NA
174,"PNT1000106","1.5","c","PSME",NA,NA,NA,1,NA,NA,NA,NA,NA,"S",2,6,NA,0,NA,NA
176,"PNT1000106","1.5","h","ARME",NA,NA,NA,1,NA,NA,NA,NA,NA,"S",220,6,NA,1,NA,NA
178,"PNT1000023","4.5","c","PIPO",NA,NA,NA,1,NA,NA,NA,NA,NA,"S",320,6,NA,0,NA,NA
180,"PNT1000135","1.2","h","ARME",NA,NA,NA,1,NA,NA,NA,NA,NA,"S",200,6,NA,0,NA,NA
181,"PNT1000135","1.2","h","ARME",NA,NA,NA,1,NA,NA,NA,NA,NA,"S",200,6,NA,0,NA,NA
182,"PNT1000135","3.4","c","CADE27",NA,NA,NA,NA,NA,NA,1,NA,NA,"S",220,9,NA,0,NA,NA
183,"PNT1000135","3.3","h","ARME",NA,NA,NA,NA,NA,1,NA,NA,NA,"S",250,8,NA,0,NA,NA
184,"PNT1000135","2","h","ARME",NA,NA,NA,1,NA,NA,NA,NA,NA,"S",210,6,NA,0,NA,NA
185,"PNT1000135","4.6","h","ARME",NA,NA,NA,NA,NA,1,NA,NA,NA,"S",430,8,NA,0,NA,NA
186,"PNT1000135","1.2","h","CONU4",NA,NA,NA,1,NA,NA,NA,NA,NA,"S",240,6,NA,0,NA,NA
188,"PNT1000135","1.1","h","CONU4",NA,NA,1,NA,NA,NA,NA,NA,NA,"S",220,5,NA,0,NA,NA
190,"PNT1000135","1","h","CONU4",NA,NA,NA,1,NA,NA,NA,NA,NA,"S",210,6,NA,0,NA,NA
191,"PNT1000135","2.7","h","LIDE3",NA,NA,NA,NA,NA,1,NA,NA,NA,"S",230,8,NA,0,NA,NA
192,"PNT1000135",".4","c","PSME",NA,NA,NA,NA,1,NA,NA,NA,NA,"S",180,7,NA,0,NA,NA
194,"PNT1000135","1.1","h","LIDE3",NA,NA,NA,NA,1,NA,NA,NA,NA,"S",200,7,NA,0,NA,NA
195,"PNT1000135","1.75","h","ARME",NA,NA,1,NA,NA,NA,NA,NA,NA,"S",180,5,NA,0,NA,NA
196,"PNT1000135","1.5","h","CONU4",NA,NA,NA,NA,1,NA,NA,NA,NA,"S",240,7,NA,0,NA,NA
197,"PNT1000135","1.3","h","ARME",NA,NA,1,NA,NA,NA,NA,NA,NA,"S",200,5,NA,0,NA,NA
198,"PNT1000135",".9","h","ARME",NA,NA,1,NA,NA,NA,NA,NA,NA,"S",195,5,NA,0,NA,NA
201,"PNT1000135","1.7","h","ARME",NA,NA,NA,1,NA,NA,NA,NA,NA,"S",200,6,NA,0,NA,NA
202,"PNT1000135","2.9","c","CADE27",NA,NA,NA,NA,NA,1,NA,NA,NA,"S",230,8,NA,0,NA,NA
203,"PNT1000135","1.9","h","LIDE3",NA,NA,NA,1,NA,NA,NA,NA,NA,"S",230,6,NA,1,NA,NA
204,"PNT1000135","1.2","h","ARME",NA,NA,1,NA,NA,NA,NA,NA,NA,"S",200,5,NA,0,NA,NA
205,"PNT1000135","1.8","h","ARME",NA,NA,NA,NA,1,NA,NA,NA,NA,"S",200,7,NA,0,NA,NA
206,"PNT1000135","2.9","h","ARME",NA,NA,NA,NA,NA,1,NA,NA,NA,"S",300,8,NA,0,NA,NA
207,"PNT1000135","5.5","h","ARME",NA,NA,NA,NA,NA,1,NA,NA,NA,"S",400,8,NA,0,NA,NA
208,"PNT1000135","1.5","h","ARME",NA,NA,NA,NA,1,NA,NA,NA,NA,"S",220,7,NA,0,NA,NA
209,"PNT1000135","1.7","c","PSME",NA,NA,NA,NA,1,NA,NA,NA,NA,"S",210,7,NA,0,NA,NA
211,"PNT1000135",".5","h","ARME",NA,NA,1,NA,NA,NA,NA,NA,NA,"S",150,5,NA,0,NA,NA
216,"PNT1000088",".4","h","LIDE3",NA,NA,NA,NA,1,NA,NA,NA,NA,"S",150,7,NA,0,NA,NA
218,"PNT1000132","4.5","h","QUKE",NA,NA,NA,NA,NA,1,NA,NA,NA,"S",320,8,NA,0,NA,NA
221,"PNT1000016","2","c","PIPO",NA,NA,NA,1,NA,NA,NA,NA,NA,"S",280,6,NA,NA,NA,NA
222,"PNT1000016","11.2","c","PIPO",NA,NA,NA,NA,NA,NA,1,NA,NA,"P",580,9,NA,NA,NA,NA
224,"PNT1000016","1","h","ARME",NA,NA,1,NA,NA,NA,NA,NA,NA,"S",170,5,NA,NA,NA,NA
225,"PNT1000016","3.8","h","ARME",NA,NA,NA,NA,NA,1,NA,NA,NA,"S",250,8,NA,NA,NA,NA
227,"PNT1000016","12.8","c","PIPO",NA,NA,NA,NA,NA,NA,1,NA,NA,"P",576,9,NA,NA,NA,NA
229,"PNT1000016","12","c","PIPO",NA,NA,NA,NA,NA,NA,1,NA,NA,"P",580,9,NA,NA,NA,NA
231,"PNT1000134","2.3","h","ARME",NA,NA,NA,NA,1,NA,NA,NA,NA,"S",340,7,NA,NA,NA,NA
232,"PNT1000134","5.8","c","PSME",NA,NA,NA,NA,NA,NA,1,NA,NA,"S",420,9,NA,NA,NA,NA
233,"PNT1000134","4.5","h","ARME",NA,NA,NA,NA,NA,1,NA,NA,NA,"S",450,8,NA,NA,NA,NA
234,"PNT1000134","2.3","c","PSME",NA,NA,NA,NA,1,NA,NA,NA,NA,"S",210,7,NA,NA,NA,NA
235,"PNT1000134","8.4","c","PIPO",NA,NA,NA,NA,NA,NA,1,NA,NA,"S",400,9,NA,NA,NA,NA
237,"PNT1000134","11.5","c","PIPO",NA,NA,NA,NA,NA,NA,NA,1,NA,"S",450,10,NA,NA,NA,NA
238,"PNT1000134","2.2","h","LIDE3",NA,NA,NA,NA,1,NA,NA,NA,NA,"S",220,7,NA,NA,NA,NA
239,"PNT1000134","11.2","c","PIPO",NA,NA,NA,NA,NA,NA,1,NA,NA,"S",480,9,NA,NA,NA,NA
