"Regen_Plot","ID","Fire","Date","Observers","Year.of.Fire","Photos","Datum","Easting","Northing","aspect","slope","parent1","parent2","BARE","ROCK","VEG..BASAL..10.","LITT","CWD","SHRUB","FORBE","GRASS","HARDWOOD","CONIFER","DEAD_OCC","LIVE_OCC","CALVEG_OBS","FIRE_SEV","HIST1","HIST2","HIST3","DUFF_cm","LITT_cm","BA_total_count","BA_live_count","BA_dead_count","NOTES","HERBS","UNDERSTORY.VEG","TREE_live.only","BAF","BA.Total1","BA.Live1","BA.Dead1","dominant_shrub_ht_cm","seed_tree_distance_general","fire.prefix","seed_tree_distance_conifer","seed_tree_distance_hardwood","seed_wall_distance","dominant_tree_1","dominant_tree_2","dominant_tree_3","fire_killed_trees_2.15","fire_killed_trees_15.30","fire_killed_trees_30.45","fire_killed_trees_45.60","fire_killed_trees_60.","dominant_shrub_1","dominant_shrub_2","new_or_revisit","burn_or_control","revisit_relocated_precisely","entered_by","entered_on","dominant_shrub_3"
"CUB1300170",2432,"CUB","7/29/2013 0:00:00","CP, RD, MS, NO",2008,"1055 NO","NAD83 UTM zone 10",630064.14,4454924.29,132,59,"GRANITE","",0.5,80,0.5,17,3,0,0,0,30,0,2,25,"1",2,"",NA,NA,0,1,6,6,0,"",0,30,30,20,120,120,0,NA,7.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CUB1300171",2433,"CUB","7/29/2013 0:00:00","CP, MS, NO ,RD",2008,"1054 NO","NAD83 UTM zone 10",630071.56,4454730.42,123,60,"GRANITE","",0.5,85,0,12,3,3,17,0,0,0,0,0,"1",2,"",NA,NA,0.5,2,8,8,0,"",17,20,0,20,160,160,0,50,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CUB1300172",2434,"CUB","7/29/2013 0:00:00","CP, MS, NO, RD",2008,"1053 NO","NAD83 UTM zone 10",630071.6,4454530.7,114,55,"GRANITE","",0.5,3,0.5,87,10,80,3,0,0,0,40,0,"1",5,"",NA,NA,0,3,10,0,10,"BAF 40",3,80,0,40,400,0,400,90,16.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CUB1300173",2435,"CUB","7/29/2013 0:00:00","CP, MS, NO, RD",2008,"1052 NO","NAD83 UTM zone 10",630086.26,4454331.63,180,30,"GRANITE","",0.5,10,3,84,3,35,2,7,0,75,6,75,"1",3,"",NA,NA,0,3,7,5,2,"BAF 40",9,45,75,40,280,200,80,63,0.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CUB1300180",2436,"CUB","7/17/2013 0:00:00","CP, NO, MS",2008,"1008 NO","NAD83 UTM zone 10",630164.94,4451737.09,8,24,"GRANITE","",40,12,0.5,46,2,65,0,0,0,0,10,0,"1",5,"",NA,NA,0,0.5,7,0,7,"BAF 10",0,65,0,10,70,0,70,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CUB1300181",2437,"CUB","7/17/2013 0:00:00","CP, MS, NO",2008,"1007 NO","NAD83 UTM zone 10",630170.55,4451530.22,310,20,"GRANITE","",6,60,0.5,33,1,70,0.5,0,0,0,0.5,0,"1",5,"",NA,NA,0,1,6,0,6,"",0.5,70,0,20,120,0,120,70,134,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CUB1300182",2438,"CUB","7/17/2013 0:00:00","CP, MS, NO",2008,"1002 NO","NAD83 UTM zone 10",630187.11,4451129.65,358,40,"GRANITE","",5,35,0.5,59,1,5,0.5,0,0,2,2,0,"1",5,"",NA,NA,0,2,13,0,13,"",0.5,7,2,20,260,0,260,20,36.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CUB1300184",2439,"CUB","7/29/2013 0:00:00","CP, MS, NO, RD",2008,"1056 NO N","NAD83 UTM zone 10",630259.33,4454935.18,150,34,"GRANITE","",0,20,3,74,3,1,1,2,0,95,0,95,"1",2,"",NA,NA,0,3,10,10,0,"BAF 40",3,4,95,40,400,400,0,20,1.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CUB1300185",2440,"CUB","7/29/2013 0:00:00","CP, NO, RD, MS",2008,"1057 NO","NAD83 UTM zone 10",630273.16,4454747.87,160,50,"GRANITE","",10,2,0.5,83,5,77,5,0,0,0.5,4,0,"1",5,"",NA,NA,0,1,8,0,8,"BAF 40",5,80,0.5,40,320,0,320,100,48.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CUB1300198",2441,"CUB","7/17/2013 0:00:00","CP, NO, MS",2008,"1013 NO","NAD83 UTM zone 10",630372.55,4451539.9,322,28,"GRANITE","",15,15,0.5,66,4,75,0.5,0,0,0,5,0,"1",5,"",NA,NA,0,0.5,9,0,9,"BAF 10",0.5,75,0,10,90,0,90,NA,75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CUB1300199",2442,"CUB","7/17/2013 0:00:00","CP, MS, NO",2008,"1014 NO","NAD83 UTM zone 10",630378.33,4451341.11,310,20,"GRANITE","",4,40,0.5,54,2,65,0.5,0,0,0,5,0,"1",5,"",NA,NA,0,1,8,0,8,"",0.5,65,0,20,160,0,160,40,75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
