"Regen_Plot","firesev","dist.to.low"
"PWR0900209",3,0.417154973490696
"PWR0900197",4,72.7946332053116
"PWR0900198",3,0
"PWR0900220",4,29.8334169784959
"PWR0900219",4,21.1022297623713
"PWR0900233",3,5.14772575930692
"PWR0900245",3,0.64305309462361
"PWR0900255",2,0
"PWR0900247",3,0
"PWR0900256",1,0
"PWR0900242",3,2.60846121166833
"PWR0900277",2,0
"PWR0900274",3,0
"PWR0900141",3,4.12817281810567
"PWR0900244",4,30
"PWR0900119",3,1.64391613428777
"PWR0900118",4,93.1365905443591
"PWR0900136",4,95.7359135435754
"PWR0900199",4,28.1722368289335
"PWR0900165",4,47.9405446823507
"PWR0900184",4,71.8041933615066
"PWR0900023",3,14.5974077826571
"PWR0900170",4,33.9518823655524
"PWR0900169",4,31.2302973057695
"PWR0900223",3,0
"PWR0900224",4,16.6304597904357
"PWR0900225",3,1.61476947343908
"PWR0900236",3,0
"PWR0900222",2,0
"PWR0900190",4,18.0001484584063
"PWR0900191",2,0
"PWR0900282",3,0
"PWR0900281",3,0
"PWR0900271",3,4.58524126695174
"PWR0900272",3,6.43185614392082
"PWR0900263",4,30.2548923378575
"PWR0900261",3,0
"PWR0900262",4,28.0111709127668
"PWR0900283",1,0
"PWR0900248",2,0
"PWR0900266",3,0
"PWR0900139",3,0
"PWR1300104",0,0
"PWR1300292",1,0
"PWR1300291",0,0
"PWR1300309",0,0
"PWR1300308",0,0
"PWR1300548",0,0
"PWR1300546",0,0
"PWR1300569",0,0
"PWR1300571",0,0
"PWR1300572",0,0
"PWR1300103",0,0
"PWR1300112",0,0
"FRD0900091",4,46.5121277017194
"FRD0900030",3,0
"FRD0900031",4,25.3730949542951
"FRD0900092",4,44.0905383529582
"FRD0900033",4,27.5698537591602
"FRD0900032",3,1.8890641448088
"FRD0900035",4,14.8165304515859
"FRD0900034",3,0
"FRD0900097",4,121.521151809867
"FRD0900077",4,177.362201841335
"FRD0900098",4,93.1102213391808
"FRD0900075",4,31.0960047866346
"FRD0900076",4,113.812668107504
"FRD0900054",4,213.001183931701
"FRD0900053",4,136.578348879305
"FRD0900040",3,18.8437004992601
"FRD0900041",4,32.7193880281716
"FRD0900038",4,80.7548232434192
"FRD0900039",4,60.7387398860739
"FRD0900122",3,0
"FRD0900121",3,0
"FRD0900071",3,13.0162941678427
"FRD0900093",3,1.40547340246849
"FRD0900069",4,30.4691159970922
"FRD0900070",4,29.6548089556294
"FRD0900044",3,0
"FRD0900067",4,85.9407616301066
"FRD0900068",3,2.79506221245108
"FRD0900045",2,0.0111319507165193
"FRD0900089",4,200.620052959419
"FRD0900134",2,0
"FRD0900135",2,0
"FRD0900132",3,7.15491093997844
"FRD0900087",3,10.5944506102242
"FRD0900066",3,0
"FRD0900088",3,0
"FRD0900065",4,61.3194856800081
"FRD0900064",4,28.8965534309472
"FRD0900062",3,7.4038967799861
"FRD0900063",4,16.1739468887449
"FRD0900023",3,12.261062101461
"FRD0900022",4,34.8678091193473
"FRD0900037",4,91.3960191631532
"FRD0900036",4,78.515071883435
"FRD0900046",2,0.446565800343387
"FRD0900048",4,22.4964212425984
"FRD0900047",3,0
"FRD0900050",3,0
"FRD0900049",4,31.4430820592787
"FRD0900074",3,0
"FRD0900051",4,124.54420535641
"FRD0900052",4,78.899468760134
"FRD0900096",3,0
"FRD0900082",3,10.4270057780668
"FRD0900081",3,4.99588597159598
"FRD0900095",3,1.16012676010049
"FRD0900094",3,0
"FRD0900072",4,36.056471128489
"FRD0900073",4,61.822840300716
"FRD0900103",4,33.7901601165414
"FRD0900080",4,67.6705699520219
"FRD0900123",4,47.3392024957691
"FRD0900120",2,0
"FRD0900105",4,24.8628759466006
"FRD0900106",4,39.6814354555922
"FRD0900104",2,0
"FRD0900102",4,68.7260387914699
"FRD0900129",3,0.345989549911553
"FRD0900115",3,7.03910713373716
"FRD0900128",3,0
"FRD0900108",4,50.7449564238608
"FRD0900090",4,141.823951917052
"FRD0900124",4,49.9986554244533
"FRD0900125",2,0
"FRD0900061",4,38.3266586028405
"FRD0900060",4,17.5516964213457
"FRD0900059",3,16.7412966095146
"FRD0900042",4,63.3301458045616
"FRD0900043",3,0
"FRD0900028",4,36.9463387532297
"FRD0900027",4,56.9416349967942
"FRD0900021",4,25.9384433698314
"FRD0900029",4,18.5826647020876
"FRD0900020",3,3.93358975814031
"FRD0900019",4,42.5669582884529
"FRD0900107",4,66.8457287851052
"FRD0900058",4,40.4645179952849
"FRD0900100",4,109.38443378473
"FRD0900101",3,0
"FRD0900117",4,68.8636204779069
"FRD0900055",3,0
"FRD0900056",3,0
"FRD0900057",3,7.80424068106062
"FRD0900079",3,0
"FRD0900078",4,138.646334093159
"FRD0900099",4,32.9040851419218
"FRD0900084",3,6.72847590594225
"FRD0900083",3,5.30389240896329
"FRD0900119",4,15.1041049957275
"FRD0900118",4,29.0859507583812
"FRD0900086",4,92.3120094480092
"FRD0900085",3,0
"FRD0900026",3,10.3626615772852
"FRD0900007",3,0
"FRD0900008",4,87.535325238278
"FRD0900009",4,49.5744573433301
"FRD0900010",3,0
"FRD0900013",3,1.2004922381662
"FRD0900111",3,2.34110587749259
"FRD0900126",3,0
"FRD0900109",4,62.4115392423192
"FRD0900110",4,29.2287565504666
"FRD0900131",4,8.60903070216754
"FRD0900130",3,0
"FRD0900012",4,48.7923507262021
"FRD0900015",4,69.2894391631719
"FRD0900011",4,90.2417146205881
"FRD0900017",4,143.670277167558
"FRD0900014",4,43.4560160882719
"FRD0900024",4,98.4527771666261
"FRD0900016",4,104.951087293049
"FRD0900025",3,0
"FRD1100197",2,0
"FRD1100202",0,0
"FRD1100182",1,0
"FRD1100213",0,0
"FRD1100216",0,0
"FRD1100205",0,0
"FRD1100184",0,0
"FRD1100183",0,0
"FRD1100203",0,0
