plot_id,contributor,longitude,latitude,fire_year,sample_year,time_since_fire,distance_seed_source,fire_severity_category,shrub_cover,grass_cover,forb_cover,canopy_cover,count_ABCO,count_ABMA,count_PICO,count_PILA,count_PSME,count_PIPJ,plot_size_ABCO,plot_size_ABMA,plot_size_PICO,plot_size_PILA,plot_size_PSME,plot_size_PIPJ
CHI0119,DJNY,-121.33534,40.111090000000004,2012,2016,4,274,high,60,0,0.5,0,2,0,0,0,0,0,15,60,60,60,60,60
CHI0123,DJNY,-121.33294000000001,40.107540000000036,2012,2016,4,120,high,50,0,0.5,0,0,0,0,0,0,0,60,60,60,60,60,60
CHI0174,DJNY,-121.31683,40.122100000000046,2012,2016,4,40.7,high,60,0,20,0,1,0,0,0,0,3,15,60,60,60,60,60
CHI0251,DJNY,-121.29569,40.12412999999996,2012,2016,4,62.3,high,60,0.5,5,0,0,0,0,0,0,0,60,60,60,60,60,60
CHI0254,DJNY,-121.29572999999999,40.12591,2012,2016,4,6.5,high,2,0.5,2,0,3,2,0,0,0,0,15,15,60,60,60,60
CHI0256,DJNY,-121.29563,40.12051000000004,2012,2016,4,100,high,15,0.5,0.5,0,0,0,0,0,0,0,60,60,60,60,60,60
CHI0262,DJNY,-121.29338,40.12593000000003,2012,2016,4,45,high,38,0,2,0,3,0,0,0,0,0,15,60,60,60,60,60
CHI1248,DJNY,-121.10961999999999,40.08617999999999,2012,2016,4,11,high,3,0,25,0,12,0,0,0,9,7,15,60,60,60,15,60
CHI1716,DJNY,-121.13766000000001,40.07527999999997,2012,2016,4,6,high,10,0.5,0.5,5,0,0,0,2,1,2,60,60,60,15,15,60
CHI1767,DJNY,-121.13303000000002,40.08068999999994,2012,2016,4,83,high,50,0,15,0,0,0,0,1,1,1,60,60,60,15,15,60
CHI1879,DJNY,-121.12822000000001,40.071749999999994,2012,2016,4,9,high,8,0.5,62,0,0,0,0,0,0,0,60,60,60,60,60,60
CHI1922,DJNY,-121.12604000000002,40.08435000000001,2012,2016,4,18,high,75,0.5,0.5,0,0,0,0,0,1,0,60,60,60,60,15,60
CHI1943,DJNY,-121.12373,40.08439,2012,2016,4,12,high,40,0.5,25,0,0,0,0,1,14,6,60,60,60,15,15,60
CHI1983,DJNY,-121.12190000000001,40.080809999999964,2012,2016,4,14,high,25,0,60,0,0,0,0,4,1,1,60,60,60,15,15,60
CHI2100,DJNY,-121.11652000000001,40.073640000000026,2012,2016,4,6,high,40,0.5,0.5,3,0,0,0,0,0,0,60,60,60,60,60,60
CHI2216,DJNY,-121.11080000000001,40.16014000000001,2012,2017,5,41,high,60,1,2,0,18,0,0,2,5,1,15,60,60,15,15,60
