"Regen_Plot","Fire","ID","Date","Observers","Year.of.Fire","Photos","Datum","Easting","Northing","aspect","slope","parent1","parent2","BARE","ROCK","VEG..BASAL..10.","LITT","CWD","SHRUB","GRASS","HARDWOOD","CONIFER","DEAD_OCC","LIVE_OCC","CALVEG_OBS","FIRE_SEV","HIST1","HIST2","HIST3","DUFF_cm","LITT_cm","BA_total_count","BA_live_count","BA_dead_count","NOTES","HERBS","UNDERSTORY.VEG","TREE_live.only","BAF","BA.Total1","BA.Live1","BA.Dead1","dominant_shrub_ht_cm","seed_tree_distance_general","fire.prefix","seed_tree_distance_conifer","seed_tree_distance_hardwood","seed_wall_distance","dominant_tree_1","dominant_tree_2","dominant_tree_3","fire_killed_trees_2.15","fire_killed_trees_15.30","fire_killed_trees_30.45","fire_killed_trees_45.60","fire_killed_trees_60.","dominant_shrub_1","dominant_shrub_2","new_or_revisit","burn_or_control","revisit_relocated_precisely","entered_by","entered_on","dominant_shrub_3","Year","fire.abbr","X5yr","fire.year","notes","survey.years.post","seed.tree.any","FORB","dom.veg","dom.veg.2016","dom.veg.all"
"PNP1110019","PENDOLA",1167,"8/4/2011 0:00:00","CP, CR, TR, MS",1999,"Plumas19S","NAD83 UTM zone 10",656826.44,4363506.27,90,26,"Granite","",15,5,0.5,75,5,21,9,0,12,0,10,"1",1,"",NA,NA,0,0.5,0,0,0,"",10,35,12,20,0,0,0,170,4.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2011,"PEN","n",1999,"this is 12-year revisit",12,4.9,1,"CADE27 LIDE3 PSME ACMA","NA NA NA","NA NA NA CADE27 LIDE3 PSME ACMA"
"PNP1110022","PENDOLA",1169,"8/5/2011 0:00:00","CP, CR, TR, MS",1999,"Plumas22S","NAD83 UTM zone 10",655820.11,4363678.91,115,25,"Granite","",25,0.5,2,71,2,80,5,2,50,0,20,"1",2,"",NA,NA,0,0.2,6,5,1,"",11,95,50,20,120,100,20,8,3.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2011,"PEN","n",1999,"this is 12-year revisit",12,3.7,10,"ABCO PILA CADE27 LIDE3 ARME","NA NA NA","NA NA NA ABCO PILA CADE27 LIDE3 ARME"
"PNP1110033","PENDOLA",1168,"8/5/2011 0:00:00","CP, CR, TR, MS",1999,"Plumas33S","NAD83 UTM zone 10",656023.38,4363874.96,240,31,"Granite","",30,2,1,63,4,50,1,2,48,0,15,"1",2,"",NA,NA,1,3.5,2,2,0,"",10,85,50,20,40,40,0,10,3.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2011,"PEN","n",1999,"this is 12-year revisit",12,3.2,10,"PSME CADE27 ABCO PIPO QUKE ARME LIDE3","NA NA NA","NA NA NA PSME CADE27 ABCO PIPO QUKE ARME LIDE3"
"PNP1110038","PENDOLA",1181,"7/14/2011 0:00:00","CP, CR, TR, MS",1999,"plumas38S","NAD83 UTM zone 10",657017.08,4363915.27,308,25,"Granite","",20,1,2,75,2,98,0.5,8,0,0,85,"1",5,"",NA,NA,0,1,0,0,0,"",20,50,8,20,0,0,0,250,20.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2011,"PEN","n",1999,"this is 12-year revisit",12,20.5,20,"ACMA CEIN3 PIPO","NA NA NA","NA NA NA ACMA CEIN3 PIPO"
"PNP1110069","PENDOLA",1162,"8/4/2011 0:00:00","CP, CR, TR, MS",1999,"PLumas69S","NAD83 UTM zone 10",657639.35,4364305.7,308,50,"Granite","",0.5,1,3,96,0.5,40,0.5,35,60,0.5,80,"1",1,"",NA,NA,0,2,2,2,0,"",8,40,75,20,40,40,0,200,1.65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2011,"PEN","n",1999,"this is 12-year revisit",12,1.65,8,"PSME PIPO CONU4 ARME CADE27","NA NA NA","NA NA NA PSME PIPO CONU4 ARME CADE27"
"PNP1110098","PENDOLA",1166,"8/4/2011 0:00:00","CP, CR, TR, MS",1999,"Pluma98S","NAD83 UTM zone 10",657983.99,4364748.83,238,15,"Granite","",10,0.5,1,84,5,98,0.5,10,20,5,50,"1",5,"",NA,NA,0,6,1,1,0,"",8,99,30,20,20,20,0,200,3.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2011,"PEN","n",1999,"this is 12-year revisit",12,3.1,8,"PSME SALIX ARME CONU4","NA NA NA","NA NA NA PSME SALIX ARME CONU4"
"PNP1110107","PENDOLA",1177,"7/12/2011 0:00:00","CP, CR, TR, MS",1999,"no photo","NAD83 UTM zone 10",657793.01,4364748.88,0,30,"Granite","",49,0,1,50,0.5,80,1,25,10,0.5,80,"1",5,"",NA,NA,0,1,0,0,0,"",20,40,30,20,0,0,0,200,7.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2011,"PEN","n",1999,"this is 12-year revisit",12,7.6,15,"PIPO PSME CONU4 CEIN3","NA NA NA","NA NA NA PIPO PSME CONU4 CEIN3"
"PNP1110109","PENDOLA",1180,"7/11/2011 0:00:00","CP, CR, TR, MS",1999,"Plumas109S","NAD83 UTM zone 10",658184.72,4364745.52,328,29,"Granite","",0.5,0,2,78,20,1,0,85,5,1,85,"1",1,"",NA,NA,0.5,2.5,7,7,0,"Lots of downed hardwoods",0,25,85,20,140,140,0,100,3.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2011,"PEN","n",1999,"this is 12-year revisit",12,3.7,0,"LIDE3 PSME CADE27 CONU4","NA NA NA","NA NA NA LIDE3 PSME CADE27 CONU4"
"PNP1110111","PENDOLA",1176,"7/11/2011 0:00:00","CP, CR, TR, MS",1999,"Plumas111S","NAD83 UTM zone 10",658564.3,4364741.82,45,34,"Granite","",1,0,2,77,20,0,0,90,90,1,98,"1",1,"",NA,NA,2.5,5,5,5,0,"Moved Plot 30m NE to avoid road",0,20,98,20,100,100,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2011,"PEN","n",1999,"this is 12-year revisit",12,NA,0,"PSME LIDE3 PIPO ARME","NA NA NA","NA NA NA PSME LIDE3 PIPO ARME"
"PNP1110113","PENDOLA",1178,"7/11/2011 0:00:00","CP, CR, TR, MS",1999,"Plumas113S","NAD83 UTM zone 10",658994.93,4364781.3,82,65,"Granite","",0.5,0,2,73,25,0,0,95,40,2,95,"1",0,"",NA,NA,1,3.5,7,6,1,"Lots of downed trees",0,15,98,20,140,120,20,NA,6.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2011,"PEN","n",1999,"this is 12-year revisit",12,6.1,0,"LIDE3 QUKE CONU4 PSME CADE27","NA NA NA","NA NA NA LIDE3 QUKE CONU4 PSME CADE27"
