Regen_Plot,species,regen.count.old,regen.count.all,adult.count,adult.ba,tallest_ht_cm,regen.presab.old,regen.presab.all
ANT1200086,ABCO,0,0,0,0,NA,FALSE,FALSE
ANT1200087,ABCO,0,0,0,0,NA,FALSE,FALSE
ANT1200092,ABCO,0,0,0,0,NA,FALSE,FALSE
ANT1200094,ABCO,0,0,0,0,NA,FALSE,FALSE
ANT1200097,ABCO,0,0,0,0,NA,FALSE,FALSE
ANT1200098,ABCO,0,0,0,0,NA,FALSE,FALSE
ANT1200110,ABCO,0,0,0,0,NA,FALSE,FALSE
ANT1200119,ABCO,0,0,0,0,NA,FALSE,FALSE
ANT1200138,ABCO,0,0,0,0,NA,FALSE,FALSE
ANT1200145,ABCO,0,0,0,0,NA,FALSE,FALSE
ANT1200166,ABCO,0,0,0,0,NA,FALSE,FALSE
ANT1200191,ABCO,0,0,0,0,NA,FALSE,FALSE
ANT1200192,ABCO,0,0,0,0,NA,FALSE,FALSE
ANT1200306,ABCO,0,0,0,0,NA,FALSE,FALSE
ANT1200307,ABCO,0,0,0,0,NA,FALSE,FALSE
ANT1200536,ABCO,0,0,0,0,NA,FALSE,FALSE
ANT1200538,ABCO,0,0,0,0,NA,FALSE,FALSE
ANT1200540,ABCO,0,0,0,0,NA,FALSE,FALSE
ANT1200542,ABCO,0,0,0,0,NA,FALSE,FALSE
ANT1200575,ABCO,0,0,0,0,NA,FALSE,FALSE
ANT1200577,ABCO,0,0,0,0,NA,FALSE,FALSE
ANT1200579,ABCO,0,0,0,0,NA,FALSE,FALSE
ANT1200581,ABCO,0,0,0,0,NA,FALSE,FALSE
ANT1200583,ABCO,0,0,0,0,NA,FALSE,FALSE
ANT1200585,ABCO,0,0,3,422.33,NA,FALSE,FALSE
ANT1200621,ABCO,0,0,0,0,NA,FALSE,FALSE
ANT1200623,ABCO,0,0,0,0,NA,FALSE,FALSE
ANT1200625,ABCO,0,0,0,0,NA,FALSE,FALSE
ANT1200627,ABCO,0,0,0,0,NA,FALSE,FALSE
ANT1200672,ABCO,0,0,0,0,NA,FALSE,FALSE
ANT1200674,ABCO,0,0,0,0,NA,FALSE,FALSE
ANT1200676,ABCO,0,0,0,0,NA,FALSE,FALSE
ANT1200728,ABCO,0,0,0,0,NA,FALSE,FALSE
ANT1201310,ABCO,0,0,0,0,NA,FALSE,FALSE
ANT1201376,ABCO,0,0,0,0,NA,FALSE,FALSE
ANT1201378,ABCO,0,0,0,0,NA,FALSE,FALSE
ANT1201448,ABCO,0,0,0,0,NA,FALSE,FALSE
ANT1201519,ABCO,0,0,0,0,NA,FALSE,FALSE
ANT1201585,ABCO,0.666666666666667,0.6,0,0,23,TRUE,TRUE
ANT1201587,ABCO,0,0,0,0,NA,FALSE,FALSE
ANT1201769,ABCO,0,0,0,0,NA,FALSE,FALSE
ANT1201771,ABCO,0,0,0,0,NA,FALSE,FALSE
ANT1201773,ABCO,0,0,0,0,NA,FALSE,FALSE
ANT1201775,ABCO,0,0,0,0,NA,FALSE,FALSE
ANT1201830,ABCO,0,0,0,0,NA,FALSE,FALSE
ANT1201832,ABCO,0,0,0,0,NA,FALSE,FALSE
ANT1201834,ABCO,0,0,0,0,NA,FALSE,FALSE
ANT1201836,ABCO,0,0,0,0,NA,FALSE,FALSE
ANT1201838,ABCO,0,0,0,0,NA,FALSE,FALSE
ANT1201840,ABCO,0,0,0,0,NA,FALSE,FALSE
ANT1201842,ABCO,0,0,0,0,NA,FALSE,FALSE
ANT1201850,ABCO,0,0,0,0,NA,FALSE,FALSE
ANT1201856,ABCO,0,0,0,0,NA,FALSE,FALSE
ANT1201860,ABCO,0,0,0,0,NA,FALSE,FALSE
ANT1201896,ABCO,0,0,1,730.24625,NA,FALSE,FALSE
ANT1201898,ABCO,0,0.2,0,0,8,FALSE,TRUE
