plot_id,contributor,longitude,latitude,fire_year,sample_year,time_since_fire,distance_seed_source,fire_severity_category,shrub_cover,grass_cover,forb_cover,canopy_cover,count_CONIF.ALLSP,plot_size_CONIF.ALLSP
ANT1201953,DJNY,-120.62114164141947,40.16456011829225,2007,2012,5,3.2,high,33,50,2,8,0,60
ANT1201963,DJNY,-120.61048775509876,40.16628684140703,2007,2012,5,6.6,high,13,5,2,2,0,60
ANT1201965,DJNY,-120.60802198759613,40.16638606569437,2007,2012,5,14.6,high,7,45,3,0,0,60
ANT1202011,DJNY,-120.6258529006326,40.166303936042915,2007,2012,5,48,high,60,8,2,0,1,60
ANT1202013,DJNY,-120.62357119035363,40.16632114970099,2007,2012,5,19.6,high,75,5,1,0,9,60
ANT1202015,DJNY,-120.62351825049858,40.16638798454514,2007,2012,5,11,high,50,30,1,0,0,60
ANT1202039,DJNY,-120.59399628675548,40.168262846659246,2007,2012,5,38,high,62,30,3,0,3,60
ANT1202082,DJNY,-120.6188726082703,40.168139261171845,2007,2012,5,38.1,high,20,55,10,0,2,60
ANT1202084,DJNY,-120.61650878187218,40.1681859937083,2007,2012,5,19.3,high,30,30,5,0,0,60
ANT1202090,DJNY,-120.61049562894245,40.1699680290417,2007,2012,5,29.4,high,100,0,70,100,0,60
ANT1202098,DJNY,-120.60110622241696,40.170032925777235,2007,2012,5,23,high,50,50,0.5,0,3,60
ANT1202104,DJNY,-120.59405522007546,40.17004805410802,2007,2012,5,13,high,80,2,0.5,0,5,60
ANT1202137,DJNY,-120.61886597257097,40.16998139540497,2007,2012,5,72,high,27,50,1,0,0,60
ANT1202139,DJNY,-120.61654426631195,40.16995350598755,2007,2012,5,11.2,high,57,8,5,0,0,60
ANT1202150,DJNY,-120.60111591165044,40.171814587569884,2007,2012,5,58.5,high,3,89,1,0,1,60
ANT1202154,DJNY,-120.59650209785374,40.17179244338433,2007,2012,5,7.5,high,20,50,6,0,2,60
ANT1202172,DJNY,-120.5752803099862,40.17193748221281,2007,2012,5,NA,high,2,10,15,0,0,60
