"Regen_Plot","species","regen.count.old","regen.count.all","adult.count","adult.ba","tallest_ht_cm","regen.presab.old","regen.presab.all"
"FRD0900064","HDWD.ALLSP",0.666666666666667,0.4,0,0,55,TRUE,TRUE
"FRD0900070","HDWD.ALLSP",1.33333333333333,0.8,0,0,165,TRUE,TRUE
"FRD0900072","HDWD.ALLSP",0,0,0,0,NA,FALSE,FALSE
"FRD0900080","HDWD.ALLSP",0.333333333333333,0.2,0,0,220,TRUE,TRUE
"FRD0900081","HDWD.ALLSP",0,0,0,0,NA,FALSE,FALSE
"FRD0900082","HDWD.ALLSP",2.33333333333333,1.4,0,0,149,TRUE,TRUE
"FRD0900083","HDWD.ALLSP",0.666666666666667,0.4,0,0,135,TRUE,TRUE
"FRD0900084","HDWD.ALLSP",0.666666666666667,0.4,0,0,155,TRUE,TRUE
"FRD0900086","HDWD.ALLSP",0,0,0,0,NA,FALSE,FALSE
"FRD0900090","HDWD.ALLSP",1.66666666666667,1,0,0,165,TRUE,TRUE
"FRD0900091","HDWD.ALLSP",1.66666666666667,1,0,0,248,TRUE,TRUE
"FRD0900092","HDWD.ALLSP",0.333333333333333,0.2,0,0,78,TRUE,TRUE
"FRD0900098","HDWD.ALLSP",0.333333333333333,0.2,0,0,230,TRUE,TRUE
"FRD0900100","HDWD.ALLSP",0,0,0,0,NA,FALSE,FALSE
"FRD0900101","HDWD.ALLSP",1.33333333333333,0.8,0,0,120,TRUE,TRUE
"FRD0900102","HDWD.ALLSP",0.333333333333333,0.2,0,0,112,TRUE,TRUE
"FRD0900103","HDWD.ALLSP",3.66666666666667,2.2,0,0,165,TRUE,TRUE
"FRD0900105","HDWD.ALLSP",1,0.6,0,0,225,TRUE,TRUE
"FRD0900106","HDWD.ALLSP",1,0.6,0,0,290,TRUE,TRUE
"FRD0900107","HDWD.ALLSP",0.666666666666667,0.4,0,0,165,TRUE,TRUE
"FRD0900108","HDWD.ALLSP",1,0.6,0,0,70,TRUE,TRUE
"FRD0900109","HDWD.ALLSP",1.33333333333333,0.8,0,0,212,TRUE,TRUE
"FRD0900118","HDWD.ALLSP",0.333333333333333,0.2,0,0,145,TRUE,TRUE
"FRD0900119","HDWD.ALLSP",0.333333333333333,0.2,0,0,155,TRUE,TRUE
"FRD0900123","HDWD.ALLSP",0.333333333333333,0.2,0,0,120,TRUE,TRUE
"FRD0900124","HDWD.ALLSP",1.33333333333333,0.8,0,0,320,TRUE,TRUE
"FRD0900125","HDWD.ALLSP",1.33333333333333,0.8,0,0,250,TRUE,TRUE
"FRD0900126","HDWD.ALLSP",0,0,0,0,NA,FALSE,FALSE
"FRD0900133","HDWD.ALLSP",0,0,0,0,NA,FALSE,FALSE
"FRD0900134","HDWD.ALLSP",0.666666666666667,0.4,0,0,95,TRUE,TRUE
"FRD1100024","HDWD.ALLSP",0,0,0,0,NA,FALSE,FALSE
"FRD1100182","HDWD.ALLSP",0,0,0,0,NA,FALSE,FALSE
"FRD1100197","HDWD.ALLSP",0,0,0,0,NA,FALSE,FALSE
"FRD1100216","HDWD.ALLSP",0,0,0,0,NA,FALSE,FALSE
"FRD1200135","HDWD.ALLSP",2.66666666666667,1.25,1,1163.56625,130,TRUE,TRUE
"FRD1200140","HDWD.ALLSP",0,0,0,0,NA,FALSE,FALSE
"FRD1200183","HDWD.ALLSP",6,2.75,3,4282.96,160,TRUE,TRUE
