ID,Plot_ID,Seed_Species,Planted/Seeded,Count_0,Count_1,Count_2,Count_3,Count_4,Count_5,Count_6,Count_7,Count_8,Count_9,Count_10,Count_11,Count_12,Count_13,Count_14,Count_15,Count_16,Count_17,Count_18,Count_19,Count_20,Count_21,Count_22,Count_23,Count_24,Count_25,Count_26,TI_Height,TI_Age,TI_LYG,,
PWR,61615,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,0.0,0,0.0,,
PWR,61616,ABCO,S,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,41.0,6,3.0,,
PWR,61616,PILA,S,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,81.0,7,5.0,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PWR,13,ABCO,S,0,0,0,0,1,4,3,3,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45.0,8,6.0,,
PWR,13,PILA,S,0,0,0,0,0,0,4,6,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70.0,9,3.0,,
PWR,13,CADE,S,0,0,0,0,0,10,10,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85.0,8,5.0,,
PWR,9,PIPO,S,0,0,0,0,1,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60.0,9,6.0,,
PWR,9,PIJE,S,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,118.0,8,6.0,,
PWR,9,PILA,S,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120.0,8,5.0,,
PWR,9,CADE,S,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.0,6,1.0,,
PWR,5,PIJE,S,0,3,0,0,1,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38.0,9,1.0,,
PWR,65,PIPO,S,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7,7,6.0,,
PWR,66,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,,
PWR,193,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,,
PWR,245,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,,
PWR,219,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,,
PWR,198,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,,
PWR,128,PIPO,S,0,0,0,0,0,1,1,10,10,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75,10,4.0,,
PWR,128,PILA,S,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,10,5.0,,
PWR,128,QUCH,S,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0.5,,
PWR,104,PILA,S,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,9,8.0,,
PWR,104,CADE,S,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.0,1,2.0,,
PWR,104,PIPO,S,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.0,0,NA,,
PWR,105,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,,
PWR,106,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,,
PWR,143,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,,
PWR,113,CADE,S,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85,8,1.0,,
PWR,179,CADE,S,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9,5.0,,
PWR,103,PIPO,S,0,0,0,1,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98.0,7,12.0,,
PWR,716D,PIPO,S,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,7,2.0,,
PWR,716C,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
PWR,187,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
PWR,35,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
