ID,Plot_ID,Sap_Species,Planted/Seeded,Sap_DBH,Sap_Age,TI_Species,TI_Height,TI_Age,TI_LYG
PWR,812B,NA,NA,NA,NA,NA,NA,NA,NA
PWR,812A,NA,NA,NA,NA,NA,NA,NA,NA
PWR,93,QUKE,S,0.5,10,QUKE ,140.0,10,12
PWR,94,NA,NA,NA,NA,NA,NA,NA,NA
PWR,95,NA,NA,NA,NA,NA,NA,NA,NA
PWR,121,NA,NA,NA,NA,NA,NA,NA,NA
PWR,260,NA,NA,NA,NA,NA,NA,NA,NA
PWR,717A,PIPO,S,3.3,9,PIPO,270.0,9,25
PWR,717A,CADE,S,1.5,11,CADE,190.0,11,15
PWR,717A,ALRH,S,4.4,11,ALRH,400.0,11,17
PWR,717A,CADE,S,2.2,11,,,,
PWR,717A,CADE,S,1.4,11,,,,
PWR,8,NA,NA,NA,NA,NA,NA,NA,NA
PWR,18,NA,NA,NA,NA,NA,NA,NA,NA
PWR,16,NA,NA,NA,NA,NA,NA,NA,NA
PWR,49,PIPO,S,2.3,9,PIPO,2.0,9,20
PWR,49,PIPO,S,3.0,9,,,,
PWR,49,PIPO,S,1.9,9,,,,
PWR,37,PIPO,S,4.8,8,PIPO,2.1,8,25
PWR,144,NA,NA,NA,NA,NA,NA,NA,NA
PWR,145,NA,NA,NA,NA,NA,NA,NA,NA
PWR,71B,NA,NA,NA,NA,NA,NA,NA,NA
PWR,227,PIPO,P,3.5,10,PIPO,2.3,10,34
PWR,71C,NA,NA,NA,NA,NA,NA,NA,NA
PWR,71A,CADE,S,2.0,10,CADE,200.0,10,3.7
PWR,81,NA,NA,NA,NA,NA,NA,NA,NA
PWR,102,NA,NA,NA,NA,NA,NA,NA,NA
PWR,101,NA,NA,NA,NA,NA,NA,NA,NA
PWR,212,NA,NA,NA,NA,NA,NA,NA,NA
PWR,223,NA,NA,NA,NA,NA,NA,NA,NA
PWR,259,NA,NA,NA,NA,NA,NA,NA,NA
PWR,222,NA,NA,NA,NA,NA,NA,NA,NA
PWR,120,NA,NA,NA,NA,NA,NA,NA,NA
PWR,299C,NA,NA,NA,NA,NA,NA,NA,NA
PWR,73B,NA,NA,NA,NA,NA,NA,NA,NA
PWR,73A,NA,NA,NA,NA,NA,NA,NA,NA
PWR,80,PIPO,S,1.9,7,PIPO,190.0,10,14.0
PWR,,PIPO,S,2.2,10,,,,
PWR,,PIPO,S,2.5,10,,,,
PWR,112C,QUCH,S,3.2,15,QUCH,160.0,15,17.0
PWR,103C,QUCH,S,3.2,20,ABCO,160.0,25,5.0
PWR,103C,ABCO,S,1.4,23,QUCH,250.0,20,7.0
PWR,103C,QUCH,S,5.3,25,,,,
PWR,292,PIPO,S,2.5,16,PIPO,280.0,16,3.0
PWR,292,PILA,S,6.1,24,PILA,410.0,24,5.0
PWR,291C,QUCH,S,6.8,15,QUKE,140.0,10,1.0
PWR,291C,QUCH,S,1.4,10,QUCH,440.0,15,10.0
PWR,291C,QUKE,S,0.8,10,,,,
PWR,291C,QUCH,S,1.5,10,,,,
PWR,291C,QUCH,S,0.8,8,,,,
PWR,569,ABCO,S,7.0,30,ABCO,380.0,31,10.0
PWR,569,ABCO,S,7.2,31,,,,
PWR,569,ABCO,S,7.1,31,,,,
PWR,569,ABCO,S,6.0,28,,,,
PWR,569,ABCO,S,7.0,27,,,,
PWR,569,ABCO,S,6.5,28,,,,
PWR,569,ABCO,S,3.1,25,,,,
PWR,569,ABCO,S,3.1,25,,,,
PWR,572,ABCO,S,3.0,39,ABCO,190.0,41,1.0
PWR,572,PILA,S,2.7,37,PILA,150.0,37,2.0
PWR,572,ABCO,S,2.0,41,,,,
PWR,571,ABCO,S,5.9,33,ABCO,230.0,33,5.0
PWR,309,ABCO,S,3.0,24,ABCO,540.0,36,3.0
PWR,309,ABCO,S,1.2,21,,,,
PWR,309,ABCO,S,1.5,23,,,,
PWR,309,ABCO,S,5.6,28,,,,
PWR,309,ABCO,S,7.0,36,,,,
PWR,309,ABCO,S,2.5,21,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
