"LOOIC","SE","comp","sp"
12.3355601896272,11.3675086667413,"null.normal","PIPO"
-10.0252056147728,6.87455030582265,"normal.post","PIPO"
11.0920813825144,7.48757216531417,"normal.anom","PIPO"
11.0920813825144,7.48757216531417,"anom.normal","PIPO"
58.8626764801066,16.4023446823012,"null.normal","ABCO"
-15.018144284606,7.39041249805857,"normal.post","ABCO"
-1.60791686591767,5.2828771437419,"normal.anom","ABCO"
-1.60791686591767,5.2828771437419,"anom.normal","ABCO"
-0.570715765538544,6.57307419383035,"null.normal","PILA"
1.70952735056754,4.5738757771772,"normal.post","PILA"
-5.80677646928729,2.94689374236571,"normal.anom","PILA"
-5.80677646928729,2.94689374236571,"anom.normal","PILA"
67.9463636477771,13.3652028341702,"null.normal","QUKE"
1.44111357299375,9.89251103276518,"normal.post","QUKE"
2.32950622387486,7.45109676537579,"normal.anom","QUKE"
2.32950622387486,7.45109676537579,"anom.normal","QUKE"
211.988634869504,24.383097097983,"null.normal","QUCH2"
-4.58920560642213,10.6002307958415,"normal.post","QUCH2"
3.17760469476839,6.80508817656953,"normal.anom","QUCH2"
3.17760469476839,6.80508817656953,"anom.normal","QUCH2"
22.080691574675,11.8000150027702,"null.normal","COV.SHRUB"
15.5976574370332,9.01686275139556,"normal.post","COV.SHRUB"
18.8869018143698,10.1407797105046,"normal.anom","COV.SHRUB"
18.8869018143698,10.1407797105046,"anom.normal","COV.SHRUB"
112.566157799313,17.176502421448,"null.normal","COV.GRASS"
-19.3331431768074,8.94028103954157,"normal.post","COV.GRASS"
6.01779113379544,8.03491861714831,"normal.anom","COV.GRASS"
6.01779113379544,8.03491861714831,"anom.normal","COV.GRASS"
