"","sp","auc.p","auc.pP","auc.pt","auc.pPtT","auc.p.1","auc.tT"
"1","PINUS.ALLSP",0.648276586801177,0.646844787725935,0.651166456494325,0.65567202606137,0.648276586801177,0.642798970155528
"2","SHADE.ALLSP",0.8417225950783,0.843449796025793,0.837083826819318,0.839518357678642,0.8417225950783,0.835422424003158
"3","HDWD.ALLSP",0.909878892211048,0.924571894536559,0.924315182265712,0.931488025127601,0.909878892211048,0.927305125184984
"4","PIPO",0.735770782889427,0.734237288135593,0.737659402744149,0.733527037933818,0.735770782889427,0.722776432606941
