"OldPLOTID","Regen_Plot","modal_ht_ft","Species","Cover","ID","modal_ht_cm","comments"
,"STY0900043",,"PUTR2",1.00,859,50.00,
,"STY0900043",,"ARTR2",1.00,860,70.00,
,"STY0900042",,"SAMBU",5.00,861,120.00,
,"STY0900042",,"PREM",5.00,862,95.00,
,"STY0900038",,"CEPR",1.00,863,5.00,
,"STY0900031",,"CEPR",10.00,864,5.00,
,"STY0900030",,"ARPA6",0.50,865,40.00,
,"STY0900030",,"CEPR",25.00,866,5.00,
,"STY0900019",,"ARPA6",5.00,867,55.00,
,"STY0900019",,"CEPR",20.00,868,5.00,
,"STY0900014",,"CEPR",25.00,869,5.00,
,"STY0900013",,"CEPR",20.00,870,5.00,
,"STY0900013",,"ARPA6",0.50,871,20.00,
,"STY0900017",,"CEPR",35.00,872,5.00,
,"STY0900017",,"ARPA6",0.50,873,30.00,
,"STY0900012",,"ARPA6",0.50,874,20.00,
,"STY0900012",,"CEPR",15.00,875,5.00,
,"STY0900018",,"PUTR2",5.00,876,100.00,
,"STY0900018",,"PREM",10.00,877,95.00,
,"STY0900018",,"ARPA6",3.00,878,35.00,
,"STY0900018",,"CEPR",0.50,879,10.00,
,"STY0900021",,"CEPR",75.00,880,5.00,
,"STY0900021",,"ARPA6",5.00,881,35.00,
,"STY0900021",,"PREM",0.50,882,55.00,
,"STY0900021",,"AMELA",0.50,883,70.00,
,"STY0900021",,"UNK_2",0.50,884,35.00,"unk rose"
,"STY0900027",,"ARPA6",1.00,885,30.00,
,"STY0900026",,"CEPR",1.00,886,5.00,
,"PWR0900215",,"ARPA6",1.00,887,50.00,
,"PWR0900215",,"CHFO",30.00,888,30.00,
,"PWR0900215",,"UNK_2",0.50,889,50.00,"unk berry"
,"PWR0900214",,"CHFO",50.00,890,20.00,
,"PWR0900207",,"CHFO",40.00,891,30.00,
,"PWR0900180",,"CHFO",50.00,892,50.00,
,"PWR0900194",,"CHFO",10.00,893,30.00,
,"PWR0900182",,"CEIN3",10.00,894,190.00,
,"PWR0900195",,"ARPA6",1.00,895,30.00,
,"PWR0900173",,"ARPA6",8.00,896,60.00,
,"PWR0900172",,"CEIN3",13.00,897,95.00,
,"PWR0900172",,"CHFO",15.00,898,40.00,
,"PWR0900163",,"CEIN3",5.00,899,150.00,
,"PWR0900163",,"SALIX",1.00,900,,"unk salix 1"
,"PWR0900163",,"SALIX",1.00,901,,"unk salix 2"
,"PWR0900162",,"CHFO",2.00,902,20.00,
,"PWR0900162",,"RIRO",0.50,903,50.00,
,"PWR0900160",,"CHFO",0.50,904,30.00,
,"PWR0900159",,"RIRO",1.00,905,40.00,
,"PWR0900151",,"CHFO",5.00,906,30.00,
,"PWR0900151",,"UNK_2",0.50,907,50.00,"unk species"
,"PWR0900150",,"CHFO",35.00,908,30.00,
