"ID","Regen_Plot","OldPLOTID","Count_total","0yr","Ct_1yr","Ct_2yr","Ct_3yr","Ct_4yr","Ct_5yr","6yr","7yr","8yr","9yr","10yr","11+yr","Type","Species","num_dead","seed_veg_plant","tallest_age","tallest_ht_cm","tallest_lastyr_cm","Remarks","number_sprouts"
1902,"BST1100070",,18.00,2,6,8,2,,,,,,,,,"C","ABMA",,"S",3.00,12.00,6.00,,
1903,"BST1100070",,5.00,,3,2,,,,,,,,,,"C","PILA",,"S",2.00,14.00,5.00,,
1904,"BST1100070",,1.00,,1,,,,,,,,,,,"C","PIPO",,"S",1.00,10.00,5.00,,
1905,"BST1100070",,6.00,,2,2,2,,,,,,,,,"C","ABCO",,"S",2.00,11.00,4.00,,
1907,"BST1100071",,1.00,,,,,1,,,,,,,,"C","PIPO",,"S",4.00,50.00,12.00,,
1909,"BST1100072",,3.00,,,,,,3,,,,,,,"C","ABCO",,"S",5.00,120.00,12.00,,
1911,"BST1100086",,2.00,2,,,,,,,,,,,,"C","PSME",,"S",0.00,8.00,0.00,,
1912,"BST1100087",,3.00,,1,,,2,,,,,,,,"C","PILA",,"S",4.00,30.00,8.00,,
1913,"BST1100087",,1.00,,,,,1,,,,,,,,"C","PSME",,"S",4.00,40.00,10.00,,
1914,"BST1100087",,1.00,,,,,,1,,,,,,,"C","ABMA",,"S",5.00,78.00,11.00,,
1915,"BST1100109",,11.00,1,4,5,1,,,,,,,,,"C","ABMA",,"S",3.00,30.00,7.00,,
1916,"BST1100109",,1.00,,1,,,,,,,,,,,"C","PILA",,"S",1.00,11.00,6.00,,
1917,"BST1100090",,1.00,,,,,,1,,,,,,,"C","PIPO",,"S",5.00,35.00,12.00,,
1918,"BST1100090",,2.00,,1,1,,,,,,,,,,"C","ABCO",,"S",2.00,9.00,3.00,,
1919,"BST1100090",,4.00,1,3,,,,,,,,,,,"C","CADE27",,"S",1.00,5.00,2.50,,
1920,"BST1100095",,4.00,,,3,1,,,,,,,,,"C","CADE27",,"S",3.00,15.00,5.00,,
1921,"BST1100095",,5.00,,5,,,,,,,,,,,"C","PSME",,"S",1.00,7.00,5.00,,
1922,"BST1100095",,1.00,,1,,,,,,,,,,,"C","PILA",,"S",1.00,12.00,5.00,,
