"ID","Regen_Plot","Fire","Date","Observers","Year of Fire","Photos","Datum","Easting","Northing","aspect","slope","parent1","parent2","BARE","ROCK","VEG (BASAL '10)","LITT","CWD","SHRUB","FORBE","GRASS","HARDWOOD","CONIFER","DEAD_OCC","LIVE_OCC","CALVEG_OBS","FIRE_SEV","HIST1","HIST2","HIST3","DUFF_cm","LITT_cm","BA_total_count","BA_live_count","BA_dead_count","NOTES","HERBS","UNDERSTORY VEG","TREE_live only","BAF","BA Total1","BA Live1","BA Dead1"
344,"STY0900059","STRAYLOR",7/16/2009 0:00:00,"cc/eo",2004.00,"2828","WGS84 UTM zone 10",662332.00,4520648.00,37.00,29.00,"volc",,5.00,40.00,33.00,20.00,2.00,6.00,20.00,13.00,,,,,"1",5.00,,,,0.00,0.00,0,0,0,"Near top of ridge.  Salvaged and planted areas nearby.",,,,20,0,0,0
345,"STY0900060","STRAYLOR",7/16/2009 0:00:00,"cc/eo",2004.00,,"WGS84 UTM zone 10",662731.00,4520661.00,226.00,12.00,"volc",,20.00,1.00,71.00,5.00,3.00,59.00,5.00,7.00,,,5.00,0.00,"1",5.00,,,,0.00,0.00,6,0,6,"Near topographic low point.",,,,20,120,0,120
346,"STY0900064","STRAYLOR",7/16/2009 0:00:00,"cc/eo",2004.00,"2824","WGS84 UTM zone 10",662538.00,4520452.00,194.00,11.00,"volc",,28.00,3.00,61.00,7.00,1.00,1.00,15.00,45.00,,,1.00,0.00,"1",5.00,,,,0.00,0.00,1,0,1,"Salvaged (no stumps inside plot).",,,,20,20,0,20
347,"STY0900063","STRAYLOR",7/16/2009 0:00:00,"cc/eo",2004.00,"2827","WGS84 UTM zone 10",662338.00,4520448.00,246.00,10.00,"volc",,46.00,2.00,39.00,10.00,3.00,4.00,15.00,20.00,,,0.00,0.00,"1",5.00,,,,0.00,0.00,1,0,1,"Salvaged",,,,20,20,0,20
348,"STY0900046","STRAYLOR",7/16/2009 0:00:00,"cc/eo",2004.00,"2841","WGS84 UTM zone 10",662105.00,4521442.00,310.00,32.00,"volc",,20.00,15.00,42.00,20.00,3.00,20.00,10.00,7.00,,,0.50,0.00,"1",5.00,,,,0.30,0.50,1,0,1,"Lots of windthrow just below ridgeline.",,,,20,20,0,20
349,"STY0900035","STRAYLOR",7/16/2009 0:00:00,"cc/eo",2004.00,"2838","WGS84 UTM zone 10",662292.00,4521844.00,72.00,22.00,"volc",,12.00,3.00,50.00,35.00,0.50,6.00,8.00,36.00,,,,,"1",2.00,,,,1.20,0.70,1,1,0,"CELE regen and survival.",,,,20,20,20,0
350,"STY0900045","STRAYLOR",7/16/2009 0:00:00,"cc/eo",2004.00,"2842","WGS84 UTM zone 10",661910.00,4521435.00,328.00,32.00,"volc",,12.00,35.00,35.00,17.00,1.00,0.50,15.00,20.00,,,3.00,0.00,"1",5.00,,,,0.00,0.30,2,0,2,"Some windthrow and lots in outlying area.",,,,20,40,0,40
351,"STY0900002","STRAYLOR",7/16/2009 0:00:00,"kw/bs",2004.00,"1404","WGS84 UTM zone 10",659843.15,4523366.85,278.00,22.00,"volc",,0.50,15.00,63.00,20.00,2.00,3.00,20.00,40.00,,,25.00,0.00,"1",5.00,,,,0.00,1.50,6,1,5,"LACE +, Cheatgrass +, large stand of 2 yr black oak that did not burn adjacent to plot.  Significant conifer regeneration between plots 002 and 007.",,,,20,120,20,100
352,"STY0900007","STRAYLOR",7/16/2009 0:00:00,"kw/bs",2004.00,"1403","WGS84 UTM zone 10",659649.03,4523160.26,350.00,17.00,"volc",,10.00,10.00,60.00,15.00,5.00,0.00,30.00,30.00,,,5.00,0.00,"1",5.00,,,,0.00,0.50,0,0,0,"LACE +, Cheatgrass +",,,,20,0,0,0
353,"STY0900006","STRAYLOR",7/16/2009 0:00:00,"kw/bs",2004.00,"1402","WGS84 UTM zone 10",659451.12,4523152.90,348.00,14.00,"volc",,5.00,0.50,65.00,10.00,20.00,30.00,20.00,15.00,,,8.00,0.00,"1",5.00,,,,0.00,0.50,2,0,2,"Cheatgrass +, LACE",,,,20,40,0,40
354,"STY0900009","STRAYLOR",7/16/2009 0:00:00,"kw/bs",2004.00,"1401","WGS84 UTM zone 10",659256.55,4522948.75,329.00,25.00,"volc",,5.00,10.00,60.00,5.00,20.00,1.00,19.00,40.00,,,10.00,5.00,"1",5.00,,,,0.00,0.50,4,0,4,"LACE +, Cheatgrass +.",,,,20,80,0,80
355,"STY0900078","STRAYLOR",7/16/2009 0:00:00,"kw/bs",2004.00,"1399","WGS84 UTM zone 10",664797.08,4518731.07,235.00,34.00,"volc",,0.00,30.00,65.00,5.00,0.50,4.00,2.00,60.00,,,15.00,0.00,"1",5.00,,,,0.50,1.00,4,0,4,"Cheatgrass +",,,,20,80,0,80
356,"STY0900077","STRAYLOR",7/16/2009 0:00:00,"kw/bs",2004.00,"1398","WGS84 UTM zone 10",664788.90,4518928.61,232.00,52.00,"volc",,0.00,30.00,40.00,10.00,20.00,11.00,4.00,25.00,,,0.00,0.00,"1",5.00,,,,0.50,2.00,0,0,0,"CELE skeletons, Cheatgrass +, Thistle.",,,,20,0,0,0
357,"STY0900044","STRAYLOR",7/16/2009 0:00:00,"kw/bs",2004.00,"1400","WGS84 UTM zone 10",661306.85,4521415.26,342.00,7.00,"volc",,35.00,30.00,30.00,5.00,0.00,21.00,4.00,5.00,,,0.00,0.00,"1",3.00,,,,0.00,0.25,3,3,0,"Very dry area, PIJE 40 m from plot center (7yr).",,,,20,60,60,0
358,"STY0900076","STRAYLOR",7/16/2009 0:00:00,"kw/bs",2004.00,"1397","WGS84 UTM zone 10",664583.20,4519122.57,158.00,10.00,"volc",,10.00,10.00,50.00,15.00,15.00,5.00,5.00,40.00,,,0.00,0.00,"1",4.00,,,,0.00,1.00,1,1,0,"Cheatgrass +, LACE -.",,,,20,20,20,0
359,"STY0900074","STRAYLOR",7/16/2009 0:00:00,"kw/bs",2004.00,"1396","WGS84 UTM zone 10",664370.84,4519517.22,2.00,2.00,"volc",,0.50,2.00,15.00,48.00,35.00,0.00,10.00,5.00,,,5.00,0.00,"1",3.00,,,,1.00,1.00,4,0,4,"LACE -",,,,20,80,0,80
360,"STY0900075","STRAYLOR",7/16/2009 0:00:00,"kw/bs",2004.00,"1395","WGS84 UTM zone 10",664569.87,4519520.80,106.00,15.00,"volc",,15.00,30.00,10.00,45.00,10.00,0.00,0.50,10.00,,,0.00,80.00,"1",1.00,,,,1.00,1.00,6,6,0,"Under canopy of 5 live trees, no burn markings on any of the trees.",,,,20,120,120,0
361,"STY0900071","STRAYLOR",7/16/2009 0:00:00,"kw/bs",2004.00,"1394","WGS84 UTM zone 10",664564.00,4519720.94,324.00,5.00,"volc",,10.00,30.00,45.00,10.00,5.00,30.00,5.00,10.00,,,0.00,0.00,"1",5.00,,,,0.00,0.50,1,0,1,"Cheatgrass +, LACE -",,,,20,20,0,20
362,"STY0900072","STRAYLOR",7/16/2009 0:00:00,"kw/bs",2004.00,"1393","WGS84 UTM zone 10",664764.28,4519727.89,34.00,20.00,"volc",,5.00,30.00,35.00,10.00,20.00,10.00,5.00,20.00,,,8.00,0.00,"1",5.00,,,,0.25,1.00,7,0,7,"LACE -, Cheatgrass +",,,,20,140,0,140
363,"STY0900065","STRAYLOR",7/16/2009 0:00:00,"kw/bs",2004.00,"1392","WGS84 UTM zone 10",663337.99,4520481.35,17.00,9.00,"volc",,3.00,0.50,90.00,5.00,2.00,6.00,4.00,80.00,,,30.00,0.00,"1",5.00,,,,0.00,1.00,2,0,2,"CELE + (skeletons), Cheatgrass +, LACE -",,,,20,40,0,40
364,"STY0900066","STRAYLOR",7/16/2009 0:00:00,"kw/bs",2004.00,"1391","WGS84 UTM zone 10",663538.81,4520488.56,67.00,19.00,"volc",,2.00,5.00,75.00,8.00,0.00,42.00,3.00,30.00,,,10.00,0.00,"1",5.00,,,,0.00,0.75,1,0,1,"CELE + (skeletons), Cheatgrass +, LACE",,,,20,20,0,20
