"ID","Regen_Plot","DBH (cm)","type","Species","3 yr","4yr","5yr","6yr","7yr","8yr","9yr","10yr","11+yr","seed_veg_plant","tallest_ht_cm","tallest_age","tallest_lastyr_cm","number_sprouts"
186,"PNT1000135","1.2","h","CONU4",,,,1,,,,,,"S",240.00,6.00,,0.00
188,"PNT1000135","1.1","h","CONU4",,,1,,,,,,,"S",220.00,5.00,,0.00
190,"PNT1000135","1","h","CONU4",,,,1,,,,,,"S",210.00,6.00,,0.00
191,"PNT1000135","2.7","h","LIDE3",,,,,,1,,,,"S",230.00,8.00,,0.00
192,"PNT1000135",".4","c","PSME",,,,,1,,,,,"S",180.00,7.00,,0.00
194,"PNT1000135","1.1","h","LIDE3",,,,,1,,,,,"S",200.00,7.00,,0.00
195,"PNT1000135","1.75","h","ARME",,,1,,,,,,,"S",180.00,5.00,,0.00
196,"PNT1000135","1.5","h","CONU4",,,,,1,,,,,"S",240.00,7.00,,0.00
197,"PNT1000135","1.3","h","ARME",,,1,,,,,,,"S",200.00,5.00,,0.00
198,"PNT1000135",".9","h","ARME",,,1,,,,,,,"S",195.00,5.00,,0.00
201,"PNT1000135","1.7","h","ARME",,,,1,,,,,,"S",200.00,6.00,,0.00
202,"PNT1000135","2.9","c","CADE27",,,,,,1,,,,"S",230.00,8.00,,0.00
203,"PNT1000135","1.9","h","LIDE3",,,,1,,,,,,"S",230.00,6.00,,1.00
204,"PNT1000135","1.2","h","ARME",,,1,,,,,,,"S",200.00,5.00,,0.00
205,"PNT1000135","1.8","h","ARME",,,,,1,,,,,"S",200.00,7.00,,0.00
206,"PNT1000135","2.9","h","ARME",,,,,,1,,,,"S",300.00,8.00,,0.00
207,"PNT1000135","5.5","h","ARME",,,,,,1,,,,"S",400.00,8.00,,0.00
208,"PNT1000135","1.5","h","ARME",,,,,1,,,,,"S",220.00,7.00,,0.00
209,"PNT1000135","1.7","c","PSME",,,,,1,,,,,"S",210.00,7.00,,0.00
211,"PNT1000135",".5","h","ARME",,,1,,,,,,,"S",150.00,5.00,,0.00
216,"PNT1000088",".4","h","LIDE3",,,,,1,,,,,"S",150.00,7.00,,0.00
218,"PNT1000132","4.5","h","QUKE",,,,,,1,,,,"S",320.00,8.00,,0.00
221,"PNT1000016","2","c","PIPO",,,,1,,,,,,"S",280.00,6.00,,
222,"PNT1000016","11.2","c","PIPO",,,,,,,1,,,"P",580.00,9.00,,
224,"PNT1000016","1","h","ARME",,,1,,,,,,,"S",170.00,5.00,,
225,"PNT1000016","3.8","h","ARME",,,,,,1,,,,"S",250.00,8.00,,
227,"PNT1000016","12.8","c","PIPO",,,,,,,1,,,"P",576.00,9.00,,
229,"PNT1000016","12","c","PIPO",,,,,,,1,,,"P",580.00,9.00,,
231,"PNT1000134","2.3","h","ARME",,,,,1,,,,,"S",340.00,7.00,,
232,"PNT1000134","5.8","c","PSME",,,,,,,1,,,"S",420.00,9.00,,
233,"PNT1000134","4.5","h","ARME",,,,,,1,,,,"S",450.00,8.00,,
234,"PNT1000134","2.3","c","PSME",,,,,1,,,,,"S",210.00,7.00,,
235,"PNT1000134","8.4","c","PIPO",,,,,,,1,,,"S",400.00,9.00,,
237,"PNT1000134","11.5","c","PIPO",,,,,,,,1,,"S",450.00,10.00,,
238,"PNT1000134","2.2","h","LIDE3",,,,,1,,,,,"S",220.00,7.00,,
239,"PNT1000134","11.2","c","PIPO",,,,,,,1,,,"S",480.00,9.00,,
240,"PNT1000134","4","h","ARME",,,,,,1,,,,"S",400.00,8.00,,
241,"PNT1000134","8.2","c","PIPO",,,,,,,1,,,"S",470.00,9.00,,
242,"PNT1000134","6.5","c","PSME",,,,,,1,,,,"S",500.00,8.00,,
243,"PNT1000134","5.1","h","ARME",,,,,1,,,,,"S",480.00,7.00,,
244,"PNT1000134","13.5","c","PIPO",,,,,,,,1,,"S",500.00,10.00,,
246,"PNT1000076","5.5","c","PIPO",,,,,1,,,,,"P",300.00,7.00,,0.00
251,"PNT1000076","1.9","h","LIDE3",,,,,1,,,,,"S",240.00,7.00,,0.00
254,"PNT1000076","2","c","PSME",,,,1,,,,,,"S",200.00,6.00,,0.00
257,"PNT1000024","5","c","PIPO",,,,,1,,,,,"S",300.00,7.00,,0.00
263,"PNT1000078","1.6","c","PSME",,,,,,1,,,,"S",240.00,8.00,,0.00
271,"PNT1000039","1.1","h","ARME",,,,,,,,,,"S",220.00,,,4.00
281,"PNT1000095",".3","h","LIDE3",,,,,,1,,,,"S",180.00,8.00,,0.00
284,"PNT1000122","1.25","h","LIDE3",,,,,1,,,,,"S",200.00,7.00,,2.00
287,"PNT1000122",".8","h","ARME",,,,1,,,,,,"S",200.00,6.00,,1.00
289,"PNT1000122",".8","h","CONU4",,,,1,,,,,,"S",200.00,6.00,,0.00
290,"PNT1000054","8.4","c","CADE27",,,,,,,,,1,"S",400.00,11.00,,0.00
291,"PNT1000054","1","c","CADE27",,,,,1,,,,,"S",200.00,7.00,,0.00
292,"PNT1000054",".6","c","CADE27",,,,,,,,1,,"S",190.00,10.00,,0.00
294,"PNT1000054","3.4","c","CADE27",,,,,,,1,,,"S",300.00,9.00,,0.00
295,"PNT1000054","7.4","c","CADE27",,,,,,,,1,,"S",320.00,10.00,,0.00
