OldPLOTID,Regen_Plot,DBH,ID,Species,comments
,HAR1000004,31,377,PIPO,
,HAR1000049,25.9,378,ABCO,
,HAR1000049,18.6,379,PIJE,
,HAR1000035,66.7,380,PIPO,
,HAR1000022,15.2,381,CADE27,
,HAR1000022,11.6,382,CADE27,
,HAR1000026,14.2,383,JUOC,
,HAR1000032,13.5,384,CADE27,
,HAR1000032,24.2,385,CADE27,
,HAR1000032,20,386,CADE27,
,HAR1000032,35,387,PIJE,
,HAR1000030,61,388,PIJE,
,HAR1000030,77,389,PIJE,
,SIM1000065,63,390,PSME,
,SIM1000098,26,391,LIDE3,
,SIM1000098,31.8,392,LIDE3,
,SIM1000090,76.5,395,PSME,
,SIM1000093,97.6,396,PSME,
,SIM1000091,28,397,PIPO,
,SIM1000092,24,398,LIDE3,
,SIM1000092,14.5,399,LIDE3,
,SIM1000092,11.9,400,QUCH2,
,SIM1000092,75,401,PSME,
,SIM1000092,29,402,PSME,
,SIM1000001,134,403,PSME,
,SIM1000003,28,404,QUKE,
,SIM1000041,52,405,PSME,
,SIM1000002,26,408,ARME,
,HAR1000008,49,410,PIJE,
,HAR1000008,4.9,411,JUOC,
,HAR1000008,21.6,412,JUOC,
,HAR1000010,11.3,413,CADE27,
,HAR1000013,48.6,415,PIPO,
,HAR1000013,50.3,416,CADE27,
,HAR1000013,38,417,PIPO,
,HAR1000013,26.2,418,CADE27,
,HAR1000014,32.5,419,PIPO,
,SIM1000042,20,420,LIDE3,
,SIM1000027,29,421,LIDE3,
,SPA1000092,20,424,ABCO,
,SPA1000092,21,425,ABCO,
,SPA1000092,23,426,ABCO,
,SPA1000092,45,427,ABCO,
,SPA1000092,2,428,ABCO,
,SPA1000148,28.7,430,PIJE,
,SPA1000160,41.2,431,PSME,
,SPA1000160,74.4,432,PSME,
,SPA1000125,5.1,433,PIJE,
,SPA1000125,6.2,434,PIJE,
,SPA1000072,20.5,436,PSME,
,SPA1000072,2.1,437,PILA,
,SIM1000018,58.5,440,PSME,
,SIM1000018,60,441,PSME,
,SIM1000097,12.6,442,PIPO,
,SIM1000097,7.5,443,PIPO,
,SIM1000081,20.7,444,QUCH2,
,SIM1000005,106,445,PSME,
,SIM1000005,71,446,PSME,
,PNT1000025,16.8,450,QUCH2,
,PNT1000025,12.4,451,QUCH2,
,SPA1000002,44.5,452,ABCO,
,SPA1000003,3.3,453,PSME,
,SPA1000005,38.8,454,ABCO,
,PNP1000005,78,455,ABCO,
,PNP1000005,49.7,456,PSME,
,PNP1000011,110,457,PSME,
,PNT1000036,16.9,458,QUCH2,all sprouts from same tree
,PNT1000036,16,459,QUCH2,
,PNT1000036,16.4,460,QUCH2,
,PNT1000036,23.5,461,QUCH2,
,PNT1000036,18.6,462,QUCH2,
,PNP1110069,25,463,PIPO,
,PNP1110069,12.5,464,PSME,
,PNP1110069,27,465,PIPO,
,PNP1110189,35.5,466,ALNUS,
,PNP1110189,22,467,LIDE3,
,PNP1110189,36,468,PSME,
,PNP1110098,17,469,PSME,
,PNP1110022,49.5,470,PILA,
,PNP1110412,8,471,ARME,
,PNP1110412,9.2,472,ARME,
,PNP1110412,25,473,PSME,
,PNP1110412,23.5,474,PSME,
,PNP1110348,53.5,475,LIDE3,
,PNP1110348,18.5,476,ABCO,
,PNP1110013,8.5,477,PSME,
,PNP1110013,23.5,478,PSME,
,PNP1110013,8.8,479,ABCO,
,PNP1110013,7.7,480,LIDE3,
,PNP1110013,11,481,ABCO,
,PNP1110013,12.5,482,PSME,
,PNP1110002,22.6,483,LIDE3,
,PNP1110002,13.2,484,LIDE3,
,PNP1110002,24.5,485,LIDE3,
,PNP1110002,8.2,486,CONU,
,PNP1110002,10.5,487,LIDE3,
,PNP1110002,7.5,488,LIDE3,
,PNP1110002,11.5,489,LIDE3,
,PNP1110002,13,490,LIDE3,
,PNP1110111,30,491,LIDE3,
,PNP1110111,101,492,PSME,
,PNP1110113,7.2,493,LIDE3,
,PNP1110113,6.9,494,LIDE3,
,PNP1110113,10.4,495,CONU,
,PNP1110113,6.2,496,CONU,
,PNP1110113,4.3,497,CONU,
,PNP1110113,7.5,498,CONU,
,PNP1110113,8.6,499,CONU,
,PNP1110113,4.3,500,CONU,
,PNP1110113,6.9,501,CONU,
,BST1100329,12.5,502,PIPO,Planted ~7 years old
,BST1100329,13.8,503,PIPO,Planted ~7 years old
,BST1100329,16.4,504,PIPO,Planted ~7 years old
,PNP1110128,27,505,LIDE3,
,PNP1110130,19.5,506,ABCO,
,PNP1110130,27,507,PSME,
,PNP1110130,15.6,508,ABCO,
,PNP1110130,10,509,PSME,
,BST1100332,72,510,ABMA,
,BST1100332,36.2,511,ABMA,
,BST1100332,53.5,512,ABMA,
,BST1100332,17.2,513,ABMA,
,PNP1110165,33,514,PSME,
,BST1100350,26.4,515,ABMA,
,BST1100351,49,516,ABCO,
,BST1100351,50.5,517,ABCO,
,BST1100351,20.7,518,ABCO,
,BST1100351,11.3,519,PSME,
,PNP1110146,34,520,PSME,
,BST1100349,116.4,521,ABMA,
,BST1100349,96,522,ABMA,
,PNP1110149,14.5,523,LIDE3,
,PNP1110149,15.5,524,QUKE,
,PNP1110149,18,525,LIDE3,
,BST1100282,36.6,526,ABCO,
,BST1100282,31.9,527,ABCO,
,PNP1110150,46.5,528,PSME,
,PNP1110171,6.5,529,PSME,
,PNP1110171,21,530,ABCO,
,PNP1110171,18,531,PSME,
,PNP1110171,12,532,PSME,
,PNP1110171,11,533,PSME,
,PNP1110171,14.5,534,PSME,
,PNP1110171,7.3,535,PILA,
,PNP1110171,5,536,PILA,
,PNP1110171,7.2,537,PSME,
,PNP1110171,5,538,PSME,
,PNP1110171,7,539,PSME,
,PNP1110171,9,540,PILA,
,PNP1110171,11,541,CADE27,
,PNP1110171,12.5,542,PSME,
,PNP1110171,27,543,PSME,
,PNP1110171,8.5,544,PSME,
,PNP1110151,11.3,545,LIDE3,
,PNT1100088,23,551,CADE27,
,PNT1100088,15.5,552,ABCO,
,PNT1100088,11.8,553,ABCO,
