ID,Regen_Plot,Species,seed_veg_plant,Count_0,Count_1,Count_2,Count_3,Count_4,Count_5,Count_6,Count_7,Count_8,Count_9,Count_10,Count_11,Count_12,Count_13,Count_14,Count_15,Count_16,Count_17,Count_18,Count_19,Count_20,Count_21,Count_22,Count_23,Count_24,Count_25,Count_26,Count_27,Count_28,Count_29,Count_30,Count_31,Count_32,Count_33,Count_34,Count_35,Count_36,Count_37,TI_Height,TI_Age,TI_LYG
9999,POW0529,CADE,S,28,,,,,,,,,,,,,,,5,3,1,,,,,,,,,,,,,,,,,,,,,80,22,1
9999,POW0406,CADE,S,,,,,,,,,,,,,,,,,,,,,,,1,,1,,2,,,,,,,,,,,,130,28,2
9999,POW0406,ABCO,S,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,2,,,1,,2,150,37,1
9999,POW0414,CADE,S,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,95,19,2
9999,POW0537,ABCO,S,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,5,1
9999,POW0034,CADE,S,,,,,,,,,,,,,2,,,1,1,,1,1,,,,,,,,,,,,,,,,,,,55,19,2
9999,POW0034,PIPO,S,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,65,18,2
9999,POW0034,ACMA,S,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,3,1
9999,POW0044,ABCO,S,,,,,,,,,,,,1,,,,1,2,,1,,2,,,,,,,,,,,,,,,,,,95,20,10
9999,POW0044,CADE,S,,,,,,,,,,,,,,3,,1,,1,1,,1,,,,,1,,,,,,,,,,,,,130,25,4
9999,POW0072,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9999,POW0082,ABCO,S,,,,,,1,,1,,,3,3,,,,1,,1,1,1,,,,,,,,,,,,,,,,,,,120,17,3
9999,POW0082,CADE,S,,,,,,,,1,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,100,11,2
9999,POW0082,PILA,S,,,,,,1,,,,2,1,3,,1,,,,,,,,,,,,,,,,,,,,,,,,,130,13,5
9999,POW0082,QUKE,S,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,3,1
9999,POW0096,CADE,S,,,,,,,,2,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,120,14,5
9999,POW0096,ABCO,S,,,,,,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,120,19,4
9999,POW0096,QUKE,S,,,,1,,1,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,20,7,2
9999,POW0096,PIPO,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110,16,4
9999,POW0106,CADE,S,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,50,14,1
9999,POW0086,PIPO,S,,,,,,,,,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,150,10,15
9999,POW0086,ABCO,S,,,,,1,3,4,4,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,130,9,6
9999,POW0086,PILA,S,,,,,,1,3,,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,145,10,14
9999,POW0086,CADE,S,,,,,1,2,2,3,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70,15,11
9999,POW0069,NA,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9999,POW0052,PSME,S,,,,,,,,,,,1,,,,1,,,,1,,,,,,1,,,,,,,,,,,,,,150,24,10
9999,POW0052,PIPO,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,10,16
9999,POW0048,PIPO,S,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,70,12,3
9999,POW0048,ABCO,S,,,,,,,,,,,1,1,,,,1,1,,1,,2,,,,,,,,,,,,,,,,,,130,20,7
9999,POW0048,CADE,S,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,170,20,4
9999,POW0079,ABCO,S,,,,2,,3,2,1,1,,2,1,1,1,,1,,,,,,,,,,,,,,,,,,,,,,,120,15,3
9999,POW0079,PILA,S,,,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,130,10,2
9999,POW0079,CADE,S,7,1,,12,1,16,1,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,8,6
9999,POW0079,PIPO,S,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80,8,4
9999,POW0079,QUKE,S,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,9,0.5
9999,POW0023,PSME,S,10,,,,,,,2,,4,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,67,11,7
9999,POW0023,CADE,S,,,,,,,,,,,13,,1,,,2,,,,,,,,,,,,,,,,,,,,,,,130,15,5
9999,POW0023,QUKE,S,,,,,,,,,,,1,,1,,,,2,,,,,,,,,,,,,,,,,,,,,,130,20,2
9999,POW0023,ABCO,S,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,110,15,3
9999,POW0022,ABCO,S,,,,,,,,,,,2,,1,,,1,,2,,,,,,,,,,,,,,,,,,,,,16,21,5
9999,POW0022,CADE,S,,,,,,,30,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,15,4
9999,POW0022,PILA,S,,,,,,,,,,,1,1,1,,,,,3,,,,,,,,,,,,,,,,,,,,,125,21,4
9999,POW0022,PSME,S,,,,,,,,,,,,,,1,1,,,1,,,,,,,,,,,,,,,,,,,,,140,16,6
9999,POW0022,QUCH,S,,,,,,,,1,2,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,20,15,1
9999,POW0022,QUKE,S,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,5,1
9999,POW0101,QUKE,S,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,3,1
9999,POW0101,QUCH,S,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,5,1
9999,POW0019,QUCH,S,,,2,,,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60,6,1
9999,POW0019,CONU,S,,,,,,25,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,130,12,15
9999,POW0019,ABCO,S,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,1,0.5
9999,POW0019,CADE,S,2,,,,,1,,,2,,1,,,2,,,,,,,,,,,,,,,,,,,,,,,,,55,3,2
9999,POW0049,QUKE,S,,,,,2,1,,2,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,130,20,6
9999,POW0049,PIPO,S,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,110,13,7
9999,POW0057,NA,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9999,POW0032,CADE,S,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,30,17,1
9999,POW0032,QUCH,S,,,,,,1,,,,,2,,,,,,,,,,,,,,,1,,,,,,,,,,,,,140,25,3
9999,POW0109,NA,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9999,POW0026,CADE,S,,,,,,,,30,,,,,22,,,15,,,,,,,,,,,,,,,,,,,,,,,130,15,5
9999,POW0026,PIPO,S,,,,,,,,,1,,,1,10,,,12,,,,,,,,,,,,,,,,,,,,,,,125,15,1
9999,POW0026,PILA,S,,,,,,12,,2,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,115,21,3
9999,POW0026,PSME,S,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,40,11,4
9999,POW0026,ABCO,S,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,10,10
9999,POW0026,QUCH,S,,,,,1,,1,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,125,15,10
9999,POW0026,QUKE,S,,,,,,,,,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,100,16,2
9999,POW0018,CADE,S,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,80,16,1
9999,POW0018,QUKE,S,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,20,9,1
9999,POW0009,PILA,S,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,5,24,1
9999,POW0009,QUKE,S,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,2,1
