"Regen_Plot","ID","Fire","Date","Observers","Year.of.Fire","Photos","Datum","Longitude","Latitude","aspect","slope","parent1","parent2","BARE","ROCK","VEG..BASAL..10.","LITT","CWD","SHRUB","FORBE","GRASS","HARDWOOD","CONIFER","DEAD_OCC","LIVE_OCC","CALVEG_OBS","FIRE_SEV","BAF","seed_tree_distance_conifer","seed_tree_distance_hardwood","BA_live_count","BA_dead_count"
"POW0537",NA,NA,"8/1/2016","MR,PE,GS,DS,JB",2016,NA,NA,743377,4268221,NA,NA,"Granite",NA,53,1,1,15,NA,0,0,0,0,30,0,30,NA,0,10,3.2,NA,NA,NA
"POW0540",NA,NA,"8/4/2016","MR,PE,GS,DS,JB",2016,NA,NA,743608,4268023,NA,NA,"Granite",NA,0.5,0.5,1,96,NA,1,1,1,0,50,0,50,NA,0,20,6.3,NA,8,0
"POW0542",NA,NA,"8/4/2016","MR,PE,GS,DS,JB",2016,NA,NA,743605,4267803,NA,NA,"Granite",NA,2,1,7,88,NA,20,0.5,0,0,32,0,32,NA,0,20,6.8,NA,8,0
"POW0543",NA,NA,"8/4/2016","MR,PE,GS,DS,JB",2016,NA,NA,743639,4266813,NA,NA,"Granite",NA,0.5,3,3,86.5,NA,1,1,0.5,0,2,0,2,NA,0,20,8.1,13,NA,NA
"POW0544",NA,NA,"8/4/2016","MR,PE,GS,DS,JB",2016,NA,NA,743630,4267608,NA,NA,"Granite",NA,0.5,0.5,2,96.5,NA,1,7,0.5,0,3,0,3,NA,0,20,4.9,NA,NA,NA
"POW0545",NA,NA,"8/4/2016","MR,PE,GS,DS,JB",2016,NA,NA,743608,4268023,NA,NA,"Granite",NA,0.5,0.5,5,92,NA,2,0,1,0,15,0,15,NA,0,20,3.7,NA,NA,NA
"POW0549",NA,NA,"8/4/2016","MR,PE,GS,DS,JB",2016,NA,NA,743633,4267012,NA,NA,"Granite",NA,10,3,15,70,NA,50,0,0,0,20,0,20,NA,0,20,4,NA,NA,NA
"POW0551",NA,NA,"8/4/2016","MR,PE,GS,DS,JB",2016,NA,NA,743622,4267204,NA,NA,"Granite",NA,0,0.5,0,59.5,NA,0,0,0,0,6,0,6,NA,0,20,9.9,NA,8,1
"POW0552",NA,NA,"8/1/2016","MR,PE,GS,DS,JB",2016,NA,NA,743575,426808,NA,NA,"Granite",NA,10,0.5,1,68.5,NA,0,0,0,0,30,0,30,NA,0,20,3.6,NA,NA,NA
"POWO088",NA,NA,"8/8/2016","MR,PE",2016,NA,NA,731495,4267014,NA,NA,"Granite",NA,0,0,0.5,94.5,NA,0.5,0.5,0.5,0,10,0.5,75,NA,0,20,3.2,NA,13,4
