"ID","Regen_Plot","COUNT TOTAL","Species","5yr","6yr","7yr","8yr","9yr","10yr","11yr","12yr","._sprouts","DBH (cm)","talst_age","tallest_ht_cm","tallest_lastyr_cm"
2844,"PIT0197",,"NODE",,,,,,,,,8,,,180.000000000,
2845,"PIT0197",,"NODE",,,,,,,,,33,,,270.000000000,
2846,"PIT0197",,"NODE",,,,,,,,,19,,,204.000000000,
2847,"PIT0197",,"NODE",,,,,,,,,13,,,180.000000000,
2848,"PIT0197",,"NODE",,,,,,,,,19,,,280.000000000,
2849,"PIT0197",,"NODE",,,,,,,,,14,,,210.000000000,
2850,"PIT0197",,"NODE",,,,,,,,,10,,,165.000000000,
2851,"PIT0197",,"NODE",,,,,,,,,18,,,190.000000000,
2852,"PIT0197",,"NODE",,,,,,,,,28,,,210.000000000,
2853,"PIT0247",,"NODE",,,,,,,,,17,,,440.000000000,
2854,"PIT0247",,"NODE",,,,,,,,,4,,,210.000000000,
2855,"PIT0247",,"NODE",,,,,,,,,9,,,280.000000000,
2856,"PIT0147",,"NODE",,,,,,,,,2,,,265.000000000,
2857,"PIT0149",,"UMCA",,,,,,,,,6,,,250.000000000,
2858,"PIT0152",,"NODE",,,,,,,,,3,,,260.000000000,
2859,"PIT0152",,"NODE",,,,,,,,,1,"5.2",,350.000000000,
2860,"PIT0152",,"ACMA",,,,,,,,,5,"7.7",,400.000000000,
2861,"PIT0153",,"CONU",,,,,,,,,13,,,180.000000000,
2862,"CHI2216",,"CONU",,,,,,,,,100,,,105.000000000,
